DELANO PK,Residential,22
DELANO PK,Vacant,1
DELANO ST,Residential,1
DELANO ST,Vacant,1
DELANY CI,Residential,4
DELANY CI,Vacant,2
DELAWARE PL,Residential,2
DELFORD ST,Residential,13
DELHI ST,Commercial,1
DELHI ST,Residential,33
DELHI ST,Vacant,10
DELL AV,Public & Quasi-Public,1
DELL AV,Residential,17
DELL AV,Vacant,1
DELL TE,Residential,3
DELL TE,Vacant,4
DELLE AV,Public & Quasi-Public,3
DELLE AV,Residential,29
DELLE AV,Vacant,9
DELLMORE RD,Residential,2
DELLMORE RD,Vacant,1
DELMONT ST,Public & Quasi-Public,1
DELMONT ST,Residential,13
DELMONT ST,Vacant,2
DELNORE PL,Commercial,1
DELNORE PL,Residential,1
DELNORE PL,Vacant,1
DELORE CI,Residential,7
DELOS ST,Public & Quasi-Public,1
DELOS ST,Vacant,11
DENBY RD,Commercial,2
DENBY RD,Residential,3
DENNIS ST,Public & Quasi-Public,7
DENNIS ST,Residential,26
DENNISON ST,Residential,11
DENNY ST,Residential,9
DENT ST,Public & Quasi-Public,1
DENT ST,Residential,68
DENTON TE,Residential,23
DENVIR ST,Residential,6
DERNE ST,Commercial,1
DERNE ST,Residential,2
DERNE ST,Residential (Mixed-Use),1
DEROMA RD,Residential,6
DERRY RD,Residential,11
DESIGN CENTER PL,Commercial,1
DESIGN CENTER PL,Industrial,1
DESMOND RD,Residential,8
DESOTO RD,Residential,39
DESOTO RD,Vacant,18
DESTEFANO RD,Residential,10
DEVENS ST,Public & Quasi-Public,4
DEVENS ST,Residential,3
DEVER ST,Residential,6
DEVINE WY,Public & Quasi-Public,1
DEVON ST,Public & Quasi-Public,2
DEVON ST,Residential,84
DEVON ST,Vacant,9
DEVONSHIRE ST,Commercial,8
DEWAR ST,Commercial,1
DEWAR ST,Industrial,2
DEWAR ST,Vacant,1
DEWEY ST,Commercial,1
DEWEY ST,Public & Quasi-Public,1
DEWEY ST,Residential,17
DEWEY ST,Vacant,6
DEWEY TE,Residential,1
DEWITT DR,Public & Quasi-Public,2
DEWITT DR,Residential,1
DEWOLF ST,Residential,9
DEWOLF ST,Vacant,1
DEXTER RO,Commercial,1
DEXTER RO,Residential (Mixed-Use),1
DEXTER ST,Residential,7
DEXTER ST,Vacant,1
DICKENS ST,Commercial,1
DICKENS ST,Public & Quasi-Public,5
DICKENS ST,Residential,17
DICKENS ST,Vacant,1
DICKINSON RD,Residential,13
DIETZ CT,Residential,5
DIETZ RD,Residential,23
DIGHTON ST,Public & Quasi-Public,2
DIGHTON ST,Residential,17
DILLINGHAM ST,Vacant,2
DIMOCK ST,Commercial,2
DIMOCK ST,Public & Quasi-Public,7
DIMOCK ST,Residential,1
DITSON ST,Residential,12
DITSON ST,Vacant,2
DIX ST,Residential,33
DIX ST,Vacant,2
DIXFIELD ST,Residential,17
DIXFIELD ST,Vacant,1
DIXWELL ST,Commercial,1
DIXWELL ST,Residential,3
DIXWELL ST,Vacant,1
DODGE RD,Residential,16
DOLANS CT,Residential,1
DOLPHIN WY,Public & Quasi-Public,1
DON ST,Residential,8
DON ST,Vacant,1
DONALD RD,Residential,8
DONCASTER ST,Public & Quasi-Public,1
DONCASTER ST,Residential,19
DONCASTER ST,Vacant,2
DONNA TE,Residential,7
DONNYBROOK RD,Residential,27
DONNYBROOK RD,Vacant,1
DONWOOD TE,Residential,9
DOONE AV,Residential,6
DORCHESTER AV,Commercial,180
DORCHESTER AV,Industrial,8
DORCHESTER AV,Public & Quasi-Public,51
DORCHESTER AV,Residential,160
DORCHESTER AV,Residential (Mixed-Use),49
DORCHESTER AV,Vacant,80
DORCHESTER ST,Commercial,22
DORCHESTER ST,Public & Quasi-Public,7
DORCHESTER ST,Residential,63
DORCHESTER ST,Residential (Mixed-Use),10
DORCHESTER ST,Vacant,9
DORIS ST,Residential,8
DORR ST,Public & Quasi-Public,1
DORR ST,Residential,13
DORR ST,Vacant,2
DORRANCE ST,Commercial,1
DORRANCE ST,Industrial,1
DORSET ST,Residential,25
DORSET ST,Vacant,1
DOUGLAS CT,Vacant,3
DOUGLAS ST,Commercial,1
DOUGLAS ST,Residential,4
DOVE ST,Residential,4
DOVE ST,Vacant,2
DOW RD,Residential,22
DOW RD,Vacant,1
DOWNER AV,Public & Quasi-Public,1
DOWNER AV,Residential,16
DOWNER CT,Residential,4
DOWNER CT,Vacant,3
DOWNEY CT,Residential,3
DOWNING ST,Public & Quasi-Public,1
DR MARY M BEATTY CI,Residential,2
DRACUT ST,Residential,37
DRACUT ST,Vacant,2
DRAKE PL,Residential,7
DRAPER RD,Public & Quasi-Public,1
DRAPER RD,Residential,2
DRAPER ST,Residential,74
DRAPER ST,Vacant,4
DRAYTON AV,Residential,9
DRAYTON AV,Vacant,1
DRAYTON ST,Residential,7
DRESDEN ST,Residential,5
DRESDEN ST,Vacant,2
DRESSER ST,Residential,2
DRESSER ST,Vacant,8
DRIFTWOOD RD,Residential,9
DRISCOLL DR,Residential,11
DROMEY ST,Residential,2
DROMEY ST,Vacant,4
DRUID ST,Residential,17
DRUID ST,Vacant,1
DRUMLIN RD,Residential,3
DRUMLIN RD,Vacant,1
DRUMMOND ST,Residential,7
DRURY RD,Residential,4
DRYDOCK AV,Commercial,1
DRYDOCK AV,Industrial,2
DRYDOCK AV,Public & Quasi-Public,9
DUDLEY PL,Vacant,2
DUDLEY ST,Commercial,37
DUDLEY ST,Public & Quasi-Public,54
DUDLEY ST,Residential,76
DUDLEY ST,Residential (Mixed-Use),11
DUDLEY ST,Vacant,43
DUDLEY TE,Public & Quasi-Public,1
DUDLEY TE,Residential,3
DUDLEY TE,Residential (Mixed-Use),1
DUKE ST,Residential,16
DUMAS ST,Residential,3
DUMAS ST,Vacant,2
DUNBAR AV,Industrial,1
DUNBAR AV,Public & Quasi-Public,3
DUNBAR AV,Residential,1
DUNBARTON RD,Public & Quasi-Public,7
DUNBARTON RD,Vacant,8
DUNBOY ST,Residential,24
DUNBOY ST,Vacant,1
DUNCAN PL,Residential,2
DUNCAN PL,Vacant,1
DUNCAN ST,Residential,14
DUNCAN ST,Vacant,1
DUNCAN TE,Residential,3
DUNCKLEE ST,Residential,13
DUNFORD ST,Residential,5
DUNGARVEN RD,Public & Quasi-Public,3
DUNGARVEN RD,Vacant,1
DUNKELD ST,Residential,3
DUNLAP ST,Residential,15
DUNLAP ST,Vacant,3
DUNMORE ST,Residential,7
DUNMORE ST,Residential (Mixed-Use),1
DUNNS TE,Residential,2
DUNNS TE,Vacant,2
DUNREATH ST,Public & Quasi-Public,2
DUNREATH ST,Residential,11
DUNREATH ST,Vacant,4
DUNSTER RD,Residential,34
DUNWELL ST,Public & Quasi-Public,1
DUNWELL ST,Residential,6
DURANT ST,Residential,15
DURANT ST,Vacant,2
DURHAM ST,Residential,9
DURHAM ST,Vacant,1
DURLAND ST,Residential,5
DURLAND ST,Vacant,4
DURNELL AV,Residential,46
DURNELL AV,Vacant,1
DUSTIN ST,Public & Quasi-Public,1
DUSTIN ST,Residential,42
DUSTIN ST,Vacant,4
DUVAL ST,Residential,10
DUVAL ST,Vacant,1
DUXBURY RD,Residential,12
DWIGHT ST,Residential,24
DWIGHT ST,Residential (Mixed-Use),1
DWINELL ST,Residential,39
DYER AV,Vacant,1
DYER CT,Public & Quasi-Public,2
DYER CT,Vacant,1
DYER ST,Residential,12
E BERKELEY ST,Commercial,11
E BERKELEY ST,Industrial,2
E BERKELEY ST,Public & Quasi-Public,3
E BERKELEY ST,Residential,7
E BERKELEY ST,Residential (Mixed-Use),2
E BERKELEY ST,Vacant,2
E BOUNDARY RD,Public & Quasi-Public,2
E BROADWAY ,Commercial,22
E BROADWAY ,Public & Quasi-Public,6
E BROADWAY ,Residential,130
E BROADWAY ,Residential (Mixed-Use),28
E BROADWAY ,Vacant,7
E BROADWAY ST,Residential (Mixed-Use),1
E BROOKLINE ST,Commercial,1
E BROOKLINE ST,Residential,15
E BROOKLINE ST,Vacant,4
E CANTON ST,Public & Quasi-Public,1
E CANTON ST,Vacant,1
E CONCORD ST,Public & Quasi-Public,1
E CONCORD ST,Residential,15
E CONCORD ST,Vacant,2
E COTTAGE ST,Commercial,9
E COTTAGE ST,Public & Quasi-Public,15
E COTTAGE ST,Residential,52
E COTTAGE ST,Vacant,11
E DEDHAM ST,Public & Quasi-Public,1
E DEDHAM ST,Vacant,1
E EAGLE ST,Commercial,2
E EAGLE ST,Industrial,1
E EAGLE ST,Public & Quasi-Public,2
E EAGLE ST,Residential,46
E EAGLE ST,Vacant,4
E EIGHTH ST,Commercial,3
E EIGHTH ST,Residential,147
E EIGHTH ST,Residential (Mixed-Use),3
E EIGHTH ST,Vacant,11
E FIFTH ST,Commercial,1
E FIFTH ST,Industrial,1
E FIFTH ST,Public & Quasi-Public,1
E FIFTH ST,Residential,191
E FIFTH ST,Residential (Mixed-Use),2
E FIFTH ST,Vacant,3
E FIRST ST,Commercial,13
E FIRST ST,Industrial,2
E FIRST ST,Public & Quasi-Public,4
E FIRST ST,Residential,12
E FIRST ST,Residential (Mixed-Use),1
E FIRST ST,Vacant,10
E FOURTH ST,Commercial,2
E FOURTH ST,Public & Quasi-Public,6
E FOURTH ST,Residential,152
E FOURTH ST,Residential (Mixed-Use),2
E FOURTH ST,Vacant,2
E INDIA RO,Commercial,1
E INDIA RO,Public & Quasi-Public,1
E NEWTON ST,Public & Quasi-Public,6
E NINTH ST,Residential,1
E SECOND ST,Commercial,8
E SECOND ST,Industrial,1
E SECOND ST,Public & Quasi-Public,1
E SECOND ST,Residential,79
E SECOND ST,Residential (Mixed-Use),2
E SECOND ST,Vacant,11
E SERVICE RD,Residential (Mixed-Use),1
E SEVENTH ST,Public & Quasi-Public,1
E SEVENTH ST,Residential,162
E SEVENTH ST,Vacant,6
E SIXTH ST,Commercial,2
E SIXTH ST,Residential,188
E SIXTH ST,Residential (Mixed-Use),1
E SIXTH ST,Vacant,3
E SPRINGFIELD ST,Residential,27
E SPRINGFIELD ST,Vacant,1
E ST,Commercial,3
E ST,Public & Quasi-Public,3
E ST,Residential,48
E ST,Vacant,12
E THIRD ST,Commercial,5
E THIRD ST,Public & Quasi-Public,1
E THIRD ST,Residential,134
E THIRD ST,Residential (Mixed-Use),2
E THIRD ST,Vacant,8
EAGLE PASS ZZ ,Public & Quasi-Public,1
EAGLE PASS ZZ ,Vacant,1
EAGLE SQ,Commercial,1
EAGLE ST,Residential,18
EAGLE ST,Vacant,1
EARHARDT RD,Public & Quasi-Public,2
EARL ST,Residential,7
EARL ST,Vacant,1
EARNSHAW ST,Residential,3
EAST SERVICE RD,Vacant,1
EAST ST,Commercial,2
EAST ST,Public & Quasi-Public,1
EAST ST,Residential,16
EAST ST,Vacant,4
EASTBOURNE ST,Residential,23
EASTBURN PL,Residential,3
EASTBURN ST,Commercial,1
EASTBURN ST,Residential,13
EASTBURN ST,Vacant,1
EASTERN AV,Commercial,2
EASTERN AV,Public & Quasi-Public,5
EASTLAND RD,Residential,35
EASTMAN ST,Public & Quasi-Public,1
EASTMAN ST,Residential,22
EASTMAN ST,Vacant,2
EASTMONT RD,Residential,8
EASTON AV,Commercial,2
EASTON AV,Residential,16
EASTON AV,Vacant,7
EASTON ST,Public & Quasi-Public,1
EASTON ST,Residential,34
EASTWOOD CC,Residential,49
EASTWOOD CC,Vacant,3
EASTWOOD CT,Residential,1
EATONIA ST,Residential,6
EATONIA ST,Vacant,1
EDEN ST,Residential,13
EDEN ST,Vacant,2
EDGAR ST,Public & Quasi-Public,1
EDGE HILL ST,Residential,18
EDGEBROOK RD,Residential,14
EDGEMERE RD,Commercial,1
EDGEMERE RD,Public & Quasi-Public,10
EDGEMERE RD,Residential,34
EDGEMERE RD,Vacant,9
EDGEMONT ST,Residential,11
EDGERLY PL,Commercial,1
EDGERLY PL,Residential,2
EDGERLY RD,Commercial,5
EDGERLY RD,Public & Quasi-Public,1
EDGERLY RD,Residential,4
EDGEWATER DR,Commercial,8
EDGEWATER DR,Public & Quasi-Public,2
EDGEWATER DR,Residential,8
EDGEWATER DR,Vacant,3
EDGEWAY TE,Public & Quasi-Public,1
EDGEWAY TE,Vacant,1
EDGEWOOD PK,Public & Quasi-Public,2
EDGEWOOD ST,Public & Quasi-Public,3
EDGEWOOD ST,Residential,24
EDGEWOOD ST,Vacant,4
EDGEWORTH PL,Public & Quasi-Public,1
EDINBORO ST,Commercial,4
EDINBORO ST,Industrial,3
EDISON GREEN ,Public & Quasi-Public,1
EDISON GREEN ,Residential,19
EDITH ST,Public & Quasi-Public,1
EDITH ST,Residential,3
EDNA RD,Residential,6
EDNA RD,Vacant,1
EDSON ST,Public & Quasi-Public,2
EDSON ST,Residential,43
EDSON ST,Vacant,11
EDSON TE,Residential,5
EDWARDSON ST,Residential,8
EDWIN ST,Residential,49
EDWIN ST,Vacant,4
EGAN WY,Residential,4
EGLESTON ST,Public & Quasi-Public,1
EGLESTON ST,Residential,13
EGLESTON ST,Residential (Mixed-Use),1
EGREMONT RD,Commercial,1
EGREMONT RD,Residential,8
EIGHTH ST,Public & Quasi-Public,4
ELBA TE,Residential,1
ELBOW ST,Public & Quasi-Public,1
ELBOW ST,Residential,2
ELDER ST,Commercial,1
ELDER ST,Residential,18
ELDER ST,Vacant,4
ELDON ST,Public & Quasi-Public,1
ELDON ST,Residential,11
ELDORA ST,Residential,10
ELDORA ST,Vacant,1
ELDRIDGE RD,Residential,17
ELDRIDGE RD,Vacant,1
ELEANOR ST,Residential,3
ELECTRIC AV,Commercial,3
ELECTRIC AV,Vacant,3
ELENE ST,Public & Quasi-Public,3
ELENE ST,Residential,1
ELGIN ST,Commercial,1
ELGIN ST,Residential,15
ELGIN ST,Vacant,2
ELIOT PL,Residential,2
ELIOT ST,Public & Quasi-Public,2
ELIOT ST,Residential,27
ELIOT TE,Residential,2
ELIZABETH ST,Residential,6
ELKINS ST,Commercial,1
ELKO ST,Residential,5
ELLARD RD,Residential,3
ELLARD RD,Vacant,1
ELLERY CT,Commercial,1
ELLERY ST,Commercial,4
ELLERY ST,Industrial,1
ELLERY ST,Residential,5
ELLERY ST,Vacant,3
ELLET ST,Vacant,3
ELLINGTON ST,Public & Quasi-Public,4
ELLINGTON ST,Residential,33
ELLINGTON ST,Vacant,12
ELLIS ST,Public & Quasi-Public,1
ELLIS ST,Residential,14
ELLISON AV,Public & Quasi-Public,1
ELLISON AV,Residential,27
ELLSWOOD ST,Residential,6
ELLSWORTH ST,Residential,3
ELLSWORTH ST,Vacant,3
ELLWOOD ST,Residential,2
ELM HILL AV,Public & Quasi-Public,5
ELM HILL AV,Residential,25
ELM HILL AV,Residential (Mixed-Use),2
ELM HILL AV,Vacant,1
ELM HILL PK,Public & Quasi-Public,1
ELM HILL PK,Residential,19
ELM LAWN ,Public & Quasi-Public,1
ELM LAWN ,Residential,7
ELM ST,Public & Quasi-Public,3
ELM ST,Residential,93
ELM ST,Vacant,6
ELMDALE ST,Residential,10
ELMER RD,Residential,34
ELMER RD,Vacant,1
ELMHURST ST,Public & Quasi-Public,3
ELMHURST ST,Residential,10
ELMHURST ST,Vacant,2
ELMIRA ST,Residential,29
ELMONT ST,Public & Quasi-Public,3
ELMONT ST,Residential,21
ELMONT ST,Vacant,7
ELMORE ST,Residential,15
ELMWOOD ST,Vacant,1
ELTON ST,Residential,10
ELVEN RD,Residential,6
ELWELL RD,Commercial,1
ELWELL RD,Residential,4
ELWELL RD,Vacant,3
ELWYN RD,Residential,6
ELWYN RD,Vacant,1
ELY RD,Residential,20
EMBANKMENT RD,Residential,2
EMBANKMENT RD,Vacant,3
EMBASSY RD,Public & Quasi-Public,1
EMBASSY RD,Residential,16
EMELIA TE,Residential,7
EMERALD CT,Residential (Mixed-Use),1
EMERSON PL,Residential (Mixed-Use),1
EMERSON ST,Commercial,5
EMERSON ST,Public & Quasi-Public,1
EMERSON ST,Residential,54
EMERY RD,Commercial,1
EMMET PL,Residential,1
EMMETT ST,Public & Quasi-Public,15
EMMETT ST,Residential,17
EMMETT ST,Vacant,12
EMMONS ST,Residential,10
EMMONSDALE RD,Public & Quasi-Public,1
EMMONSDALE RD,Residential,12
EMPIRE ST,Commercial,1
EMPIRE ST,Residential,19
EMPIRE ST,Vacant,2
EMROSE TE,Residential,3
EMROSE TE,Vacant,2
ENDICOTT CT,Residential,4
ENDICOTT CT,Vacant,1
ENDICOTT ST,Commercial,6
ENDICOTT ST,Residential,49
ENDICOTT ST,Residential (Mixed-Use),2
ENDICOTT ST,Vacant,3
ENDICOTT TE,Residential,2
ENFIELD ST,Residential,6
ENGLEWOOD AV,Public & Quasi-Public,1
ENGLEWOOD AV,Residential,17
ENNIS RD,Residential,5
ENNIS RD,Vacant,4
ENTERPRISE ST,Commercial,3
ENTERPRISE ST,Residential,1
ENTERPRISE ST,Vacant,2
EPPING ST,Vacant,2
ERIC RD,Residential,5
ERICSSON ST,Commercial,8
ERICSSON ST,Industrial,2
ERICSSON ST,Vacant,4
ERIE PL,Residential,4
ERIE ST,Commercial,2
ERIE ST,Public & Quasi-Public,10
ERIE ST,Residential,18
ERIE ST,Vacant,5
ERNEST AV,Public & Quasi-Public,2
ERNEST AV,Residential,9
ERNEST AV,Vacant,1
ERNST ST,Residential,6
ERNST ST,Vacant,4
ESKRIDGE ST,Public & Quasi-Public,2
ESMOND ST,Commercial,2
ESMOND ST,Public & Quasi-Public,2
ESMOND ST,Residential,39
ESMOND ST,Residential (Mixed-Use),2
ESSEX ST,Commercial,4
ESSEX ST,Industrial,1
ESSEX ST,Public & Quasi-Public,2
ESSEX ST,Residential,26
ESSEX ST,Residential (Mixed-Use),1
ESSEX ST,Vacant,3
ESTABROOK RD,Residential,1
ESTELLA ST,Residential,7
ESTELLA ST,Vacant,4
ESTES AV,Residential,1
ESTES AV,Vacant,5
ESTHER RD,Residential,3
ESTRELLA ST,Commercial,1
ESTRELLA ST,Residential,4
ESTRELLA ST,Vacant,1
ETHEL ST,Residential,26
ETHEL ST,Vacant,2
ETNA ST,Residential,37
ETNA ST,Vacant,2
EUCLID ST,Public & Quasi-Public,3
EUCLID ST,Residential,8
EUGENIA RD,Residential,5
EULITA TE,Residential,4
EUNICE ST,Residential,3
EUNICE ST,Vacant,1
EUSTIS ST,Commercial,1
EUSTIS ST,Public & Quasi-Public,11
EUSTIS ST,Residential,29
EUSTIS ST,Vacant,22
EUSTON RD,Public & Quasi-Public,1
EUSTON RD,Residential,14
EUSTON RD,Vacant,2
EUTAW ST,Residential,80
EUTAW ST,Vacant,3
EVANDALE TE,Residential,7
EVANDALE TE,Vacant,1
EVANS RD,Residential,1
EVANS RD,Vacant,1
EVANS ST,Public & Quasi-Public,1
EVANS ST,Residential,53
EVANS ST,Vacant,8
EVANS WY,Public & Quasi-Public,6
EVELYN ST,Residential,27
EVELYN ST,Vacant,5
EVERDEAN ST,Commercial,2
EVERDEAN ST,Residential,31
EVERDEAN ST,Vacant,2
EVERETT AV,Public & Quasi-Public,5
EVERETT AV,Residential,7
EVERETT CT,Residential,6
EVERETT PL,Residential,5
EVERETT PL,Vacant,1
EVERETT SQ,Residential,9
EVERETT ST,Commercial,12
EVERETT ST,Industrial,1
EVERETT ST,Public & Quasi-Public,5
EVERETT ST,Residential,170
EVERETT ST,Residential (Mixed-Use),3
EVERETT ST,Vacant,25
EVERGREEN ST,Public & Quasi-Public,1
EVERGREEN ST,Residential,16
EVERGREEN ST,Vacant,1
EVERTON ST,Residential,20
EVERTON ST,Vacant,2
EWER ST,Commercial,2
EWER ST,Vacant,1
EXETER ST,Commercial,3
EXETER ST,Residential,10
EXETER ST,Residential (Mixed-Use),1
F ST,Commercial,2
F ST,Public & Quasi-Public,3
F ST,Residential,55
F ST,Vacant,6
FABYAN ST,Public & Quasi-Public,8
FABYAN ST,Residential,7
FABYAN ST,Vacant,3
FACTORY ST,Commercial,3
FAIRBANKS ST,Residential,40
FAIRBURY ST,Public & Quasi-Public,2
FAIRFAX ST,Residential,8
FAIRFIELD ST,Commercial,2
FAIRFIELD ST,Public & Quasi-Public,1
FAIRFIELD ST,Residential,12
FAIRFIELD ST,Residential (Mixed-Use),1
FAIRLAND ST,Public & Quasi-Public,1
FAIRLAND ST,Residential,13
FAIRLANE RD,Residential,9
FAIRLANE RD,Vacant,2
FAIRLAWN AV,Public & Quasi-Public,1
FAIRLAWN AV,Residential,4
FAIRMOUNT AV,Commercial,9
FAIRMOUNT AV,Public & Quasi-Public,5
FAIRMOUNT AV,Residential,74
FAIRMOUNT AV,Residential (Mixed-Use),2
FAIRMOUNT CT,Public & Quasi-Public,2
FAIRMOUNT CT,Vacant,1
FAIRMOUNT ST,Public & Quasi-Public,2
FAIRMOUNT ST,Residential,87
FAIRMOUNT ST,Vacant,3
FAIRVIEW AV,Public & Quasi-Public,1
FAIRVIEW AV,Residential,2
FAIRVIEW ST,Residential,35
FAIRWAY ST,Commercial,2
FAIRWAY ST,Public & Quasi-Public,1
FALCON ST,Commercial,1
FALCON ST,Residential,141
FALCON ST,Vacant,8
FALKLAND ST,Residential,28
FALKLAND ST,Vacant,1
FALL RD,Public & Quasi-Public,4
FALMOUTH ST,Public & Quasi-Public,2
FAN PIER BL,Commercial,2
FANEUIL HALL MARKETPLACE ,Commercial,1
FANEUIL HALL SQ,Public & Quasi-Public,1
FANEUIL ST,Commercial,5
FANEUIL ST,Public & Quasi-Public,4
FANEUIL ST,Residential,87
FANEUIL ST,Vacant,7
FARADAY ST,Residential,50
FARADAY ST,Vacant,1
FARGO ST,Commercial,3
FARGO ST,Public & Quasi-Public,1
FARGO ST,Vacant,1
FARMINGTON RD,Residential,10
FARMINGTON RD,Vacant,1
FARNHAM ST,Commercial,3
FARNHAM ST,Industrial,1
FARNHAM ST,Vacant,2
FARNSWORTH ST,Commercial,8
FARNSWORTH ST,Public & Quasi-Public,1
FARNSWORTH ST,Vacant,1
FARQUHAR ST,Residential,38
FARRAGUT RD,Commercial,1
FARRAGUT RD,Public & Quasi-Public,3
FARRAGUT RD,Residential,16
FARRAGUT RD,Vacant,1
FARRAGUT ST,Residential,3
FARRAGUT ST,Vacant,1
FARRAR AV,Residential,44
FARRAR AV,Vacant,2
FARRIN ST,Residential,6
FARRINGTON AV,Commercial,2
FARRINGTON AV,Residential,7
FARWELL AV,Residential,11
FAULKNER CI,Residential,2
FAULKNER ST,Commercial,2
FAULKNER ST,Residential,7
FAULKNER ST,Vacant,2
FAUNCE RD,Residential,22
FAVRE ST,Residential,36
FAWNDALE RD,Public & Quasi-Public,1
FAWNDALE RD,Residential,32
FAWNDALE RD,Vacant,5
FAXON ST,Vacant,5
FAY ST,Commercial,1
FAYETTE ST,Public & Quasi-Public,3
FAYETTE ST,Residential,27
FAYSTON ST,Commercial,1
FAYSTON ST,Residential,42
FAYSTON ST,Residential (Mixed-Use),2
FAYSTON ST,Vacant,3
FAYWOOD AV,Residential,56
FAYWOOD AV,Residential (Mixed-Use),1
FAYWOOD AV,Vacant,1
FEDERAL RD,Vacant,1
FEDERAL ST,Commercial,10
FEDERAL ST,Vacant,1
FELLOWS ST,Public & Quasi-Public,1
FELLOWS ST,Vacant,4
FENCOURT ST,Public & Quasi-Public,1
FENDALE AV,Residential,23
FENDALE AV,Vacant,1
FENELON ST,Public & Quasi-Public,2
FENELON ST,Residential,5
FENELON ST,Vacant,5
FENENO TE,Residential,4
FENNER ST,Public & Quasi-Public,1
FENSMERE RD,Residential,8
FENSMERE RD,Vacant,1
FENTON ST,Residential,18
FENTON ST,Vacant,3
FENWAY ST,Commercial,1
FENWAY ST,Public & Quasi-Public,19
FENWAY ST,Residential,7
FENWAY ST,Vacant,1
FENWOOD RD,Public & Quasi-Public,18
FENWOOD RD,Residential,12
FENWOOD RD,Residential (Mixed-Use),1
FERMOY HEIGHTS AV,Public & Quasi-Public,2
FERN ST,Residential,3
FERNALD TE,Public & Quasi-Public,1
FERNALD TE,Residential,18
FERNBORO ST,Public & Quasi-Public,4
FERNBORO ST,Residential,16
FERNBORO ST,Vacant,2
FERNCROFT RD,Residential,8
FERNDALE ST,Residential,5
FERNDALE ST,Vacant,2
FERNWOOD RD,Residential,8
FERNWOOD RD,Vacant,1
FERRIN ST,Public & Quasi-Public,1
FERRIN ST,Residential,14
FERRIN ST,Vacant,1
FESSENDEN ST,Public & Quasi-Public,1
FESSENDEN ST,Residential,15
FESSENDEN ST,Residential (Mixed-Use),1
FID KENNEDY AV,Vacant,2
FID KENNEDY DR,Public & Quasi-Public,3
FIDELIS WA,Public & Quasi-Public,2
FIDELIS WY,Public & Quasi-Public,4
FIDELIS WY,Residential,1
FIELD ST,Public & Quasi-Public,1
FIELDMONT ST,Residential,6
FIELDS CT,Residential,2
FIELDS CT,Vacant,4
FIFIELD ST,Residential,11
FIFIELD ST,Vacant,2
FIFTH AV,Commercial,1
FIFTH AV,Public & Quasi-Public,1
FIFTH ST,Public & Quasi-Public,1
FILOMENA RD,Residential,2
FILOMENA RD,Vacant,1
FIRST AV,Commercial,2
FIRST AV,Public & Quasi-Public,2
FIRST AV,Residential,1
FIRST AV,Residential (Mixed-Use),1
FIRST AV,Vacant,2
FIRTH RD,Residential,16
FISHER AV,Public & Quasi-Public,6
FISHER AV,Residential,29
FISHER AV,Vacant,2
FISKE TE,Residential,1
FISKE TE,Vacant,1
FLAHERTY WY,Public & Quasi-Public,1
FLAVIA ST,Residential,13
FLEET ST,Commercial,3
FLEET ST,Residential,9
FLEET ST,Residential (Mixed-Use),2
FLETCHER ST,Residential,47
FLINT PL,Residential,3
FLINT ST,Public & Quasi-Public,2
FLINT ST,Residential,1
FLORAL PL,Residential,5
FLORAL PL,Vacant,1
FLORENCE ST,Commercial,1
FLORENCE ST,Public & Quasi-Public,1
FLORENCE ST,Residential,57
FLORENCE ST,Vacant,4
FLORIAN ST,Residential,22
FLORIAN WY,Residential,9
FLORIDA ST,Residential,39
FLOYD ST,Public & Quasi-Public,1
FLOYD ST,Residential,48
FLOYD ST,Vacant,2
FOLLEN ST,Residential,5
FOLLEN ST,Vacant,1
FOLSOM AV,Residential,3
FOLSOM ST,Public & Quasi-Public,4
FOLSOM ST,Residential,15
FOLSOM ST,Vacant,4
FOODMART RD,Public & Quasi-Public,2
FORBES ST,Public & Quasi-Public,10
FORBES ST,Residential,37
FORBES ST,Vacant,2
FORD ST,Commercial,1
FORD ST,Residential,13
FORD ST,Vacant,1
FORDHAM RD,Commercial,1
FORDHAM RD,Industrial,1
FORDHAM RD,Public & Quasi-Public,1
FORDHAM RD,Residential,4
FOREST HILLS ST,Public & Quasi-Public,10
FOREST HILLS ST,Residential,33
FOREST HILLS ST,Vacant,5
FOREST PL,Residential,8
FOREST PL,Vacant,2
FOREST ST,Public & Quasi-Public,2
FOREST ST,Residential,39
FOREST ST,Residential (Mixed-Use),2
FOREST ST,Vacant,12
FORESTVALE RD,Residential,6
FORSTERS CT,Vacant,1
FORSYTH ST,Public & Quasi-Public,3
FORSYTH ST,Residential,1
FORSYTH ST,Vacant,3
FORT AV,Public & Quasi-Public,5
FORT AV,Residential,25
FORT AV,Vacant,7
FORT AVENUE TE,Residential,4
FORT AVENUE TE,Vacant,2
FORT STRONG ,Public & Quasi-Public,1
FOSSDALE RD,Residential,11
FOSTER CT,Residential,1
FOSTER ST,Public & Quasi-Public,8
FOSTER ST,Residential,84
FOSTER ST,Vacant,1
FOTTLER RD,Residential,12
FOTTLER RD,Vacant,1
FOUNDRY ST,Public & Quasi-Public,3
FOUNTAIN PL,Residential,1
FOUNTAIN ST,Residential,1
FOURTH STREET PL,Residential,3
FOWLE ST,Public & Quasi-Public,2
FOWLER ST,Residential,37
FOWLER ST,Vacant,3
FOX POINT RD,Residential,5
FOX POINT RD,Vacant,2
FOX ST,Residential,18
FRANCESCA ST,Residential,5
