ALPINE PL,Residential,2
ALPINE ST,Public & Quasi-Public,6
ALPINE ST,Residential,17
ALPINE ST,Vacant,8
ALPINE WY,Vacant,2
ALTACREST RD,Residential,7
ALTAIR RD,Residential,2
ALTAIR RD,Vacant,8
ALTHEA ST,Residential,6
ALTHER ST,Residential,1
ALTHER ST,Vacant,1
ALVAH KITTREDGE PK,Public & Quasi-Public,2
ALVAH KITTREDGE PK,Residential,5
ALVAN TE,Residential,4
ALVARADO AV,Residential,7
ALVARADO AV,Vacant,1
ALVESTON ST,Residential,14
ALVESTON ST,Vacant,1
ALVESTON TE,Residential,1
ALWARD RD,Residential,6
ALWIN ST,Residential,23
AMBOY ST,Residential,4
AMBROSE ST,Public & Quasi-Public,1
AMBROSE ST,Vacant,1
AMERICAN LEGION HW,Commercial,19
AMERICAN LEGION HW,Public & Quasi-Public,10
AMERICAN LEGION HW,Residential,38
AMERICAN LEGION HW,Residential (Mixed-Use),5
AMERICAN LEGION HW,Vacant,13
AMESBURY ST,Residential,8
AMHERST ST,Residential,13
AMORET RD,Vacant,3
AMORY AV,Public & Quasi-Public,3
AMORY AV,Residential,1
AMORY AV,Vacant,1
AMORY ST,Commercial,11
AMORY ST,Industrial,5
AMORY ST,Public & Quasi-Public,10
AMORY ST,Residential,32
AMORY ST,Residential (Mixed-Use),1
AMORY ST,Vacant,17
ANAWAN AV,Commercial,1
ANAWAN AV,Residential,30
ANAWAN AV,Vacant,3
ANAWAN TE,Residential,6
ANCHOR WY,Commercial,1
ANDERSON PL,Residential,1
ANDERSON ST,Residential,17
ANDERSON ST,Residential (Mixed-Use),1
ANDOVER RD,Residential,2
ANDRIA RD,Residential,8
ANGELL ST,Public & Quasi-Public,4
ANGELL ST,Residential,18
ANGELL ST,Vacant,3
ANITA TE,Public & Quasi-Public,2
ANITA TE,Residential,3
ANNABEL ST,Public & Quasi-Public,1
ANNABEL ST,Residential,7
ANNABEL ST,Residential (Mixed-Use),1
ANNAFRAN ST,Residential,34
ANNAFRAN ST,Vacant,7
ANNAPOLIS ST,Residential,6
ANNAPOLIS ST,Vacant,2
ANNAVOY ST,Residential,11
ANNUNCIATION RD,Public & Quasi-Public,7
ANSEL RD,Commercial,1
ANSEL RD,Public & Quasi-Public,1
ANSELM TE,Residential,6
ANSON ST,Residential,7
ANSONIA RD,Residential,18
ANSONIA RD,Vacant,1
ANTHONY J GRIECO TE,Residential,3
ANTHONY J GRIECO TE,Vacant,1
ANTHONY R VALENTI WY,Commercial,4
ANTHONY R VALENTI WY,Public & Quasi-Public,1
ANTRIM ST,Residential,8
ANTWERP ST,Industrial,2
ANTWERP ST,Residential,26
ANTWERP ST,Vacant,1
APPIAN PL,Residential,4
APPIAN PL,Vacant,1
APPIAN WY,Residential,8
APPIAN WY,Vacant,1
APPLETON ST,Public & Quasi-Public,4
APPLETON ST,Residential,63
APPLETON ST,Residential (Mixed-Use),2
ARAMON ST,Vacant,2
ARBELLA RD,Residential,7
ARBORCREST TE,Residential,12
ARBORETUM RD,Industrial,1
ARBORETUM RD,Vacant,4
ARBORFIELD RD,Residential,24
ARBOROUGH RD,Residential,25
ARBOROUGH RD,Vacant,2
ARBORVIEW RD,Residential,17
ARBORVIEW RD,Vacant,1
ARBORWAY ,Vacant,2
ARBORWAY ST,Public & Quasi-Public,8
ARBORWAY ST,Residential,62
ARBORWAY ST,Vacant,5
ARBORWAY TE,Commercial,1
ARBORWAY TE,Residential,5
ARBORWAY TE,Vacant,1
ARBROTH ST,Residential,15
ARBUTUS ST,Residential,18
ARCADIA PK,Residential,10
ARCADIA PK,Vacant,1
ARCADIA ST,Commercial,1
ARCADIA ST,Residential,26
ARCH ST,Commercial,1
ARCH ST,Public & Quasi-Public,1
ARCH ST,Residential,1
ARCH ST,Vacant,1
ARCHDALE RD,Residential,18
ARCHDALE RD,Vacant,2
ARCOLA ST,Public & Quasi-Public,14
ARCOLA ST,Residential,8
ARDALE ST,Residential,48
ARDALE ST,Vacant,1
ARDEE ST,Vacant,5
ARDEN ST,Residential,15
ARDENT ST,Residential,6
ARDMORE RD,Residential,8
ARGUS PL,Residential,1
ARGYLE ST,Public & Quasi-Public,1
ARGYLE ST,Residential,8
ARGYLE TE,Residential,2
ARGYLE TE,Vacant,1
ARION ST,Commercial,1
ARION ST,Residential,8
ARION ST,Vacant,3
ARLINGTON AV,Commercial,5
ARLINGTON AV,Industrial,2
ARLINGTON AV,Public & Quasi-Public,2
ARLINGTON AV,Residential (Mixed-Use),1
ARLINGTON CT,Residential,1
ARLINGTON CT,Vacant,2
ARLINGTON ST,Commercial,12
ARLINGTON ST,Public & Quasi-Public,10
ARLINGTON ST,Residential,108
ARLINGTON ST,Residential (Mixed-Use),1
ARLINGTON ST,Vacant,5
ARMANDINE ST,Public & Quasi-Public,4
ARMANDINE ST,Residential,55
ARMINGTON ST,Public & Quasi-Public,1
ARMINGTON ST,Residential,3
ARMORY ST,Residential,5
ARMORY ST,Vacant,5
ARMSTRONG ST,Residential,17
ARMSTRONG ST,Vacant,3
ARNOLD PL,Residential,2
ARNOLD PL,Vacant,2
ARUNDEL ST,Public & Quasi-Public,1
ARUNDEL ST,Residential,1
ARVALE RD,Public & Quasi-Public,4
ARVALE RD,Residential,1
ARVALE RD,Vacant,1
ASCOT ST,Residential,2
ASHBURTON PL,Commercial,2
ASHBURTON PL,Public & Quasi-Public,2
ASHCROFT ST,Residential,6
ASHEVILLE RD,Residential,24
ASHEVILLE ST,Residential,2
ASHFIELD ST,Residential,23
ASHFORD CT,Residential,1
ASHFORD ST,Commercial,1
ASHFORD ST,Industrial,1
ASHFORD ST,Public & Quasi-Public,3
ASHFORD ST,Residential,41
ASHFORD TE,Residential,2
ASHLAND AV,Residential,3
ASHLAND ST,Residential,22
ASHLAND ST,Vacant,1
ASHLEY ST,Public & Quasi-Public,5
ASHLEY ST,Residential,45
ASHLEY ST,Vacant,6
ASHMONT CT,Residential,3
ASHMONT PK,Residential,4
ASHMONT PK,Vacant,1
ASHMONT ST,Commercial,3
ASHMONT ST,Public & Quasi-Public,6
ASHMONT ST,Residential,146
ASHMONT ST,Residential (Mixed-Use),1
ASHMONT ST,Vacant,5
ASHMORE RD,Residential,1
ASHTON ST,Public & Quasi-Public,5
ASHTON ST,Residential,13
ASHTON ST,Vacant,4
ASHWOOD TE,Public & Quasi-Public,1
ASHWOOD TE,Residential,1
ASHWOOD TE,Vacant,1
ASPEN ST,Residential,5
ASPINWALL RD,Commercial,2
ASPINWALL RD,Public & Quasi-Public,1
ASPINWALL RD,Residential,23
ASPINWALL RD,Vacant,1
ASTICOU RD,Residential,11
ASTICOU RD,Vacant,1
ASTORIA ST,Residential,29
ASTORIA ST,Vacant,2
ATHELWOLD ST,Residential,20
ATHELWOLD ST,Vacant,5
ATHENS ST,Commercial,5
ATHENS ST,Industrial,1
ATHENS ST,Public & Quasi-Public,2
ATHENS ST,Residential,41
ATHENS ST,Residential (Mixed-Use),3
ATHENS ST,Vacant,17
ATHERSTONE ST,Residential,10
ATHERTON AV,Public & Quasi-Public,1
ATHERTON AV,Residential,5
ATHERTON PL,Residential,5
ATHERTON ST,Public & Quasi-Public,2
ATHERTON ST,Residential,38
ATHOL ST,Public & Quasi-Public,1
ATHOL ST,Residential,14
ATHOL ST,Vacant,2
ATKINS ST,Residential,20
ATKINSON ST,Commercial,1
ATKINSON ST,Public & Quasi-Public,1
ATKINSON ST,Vacant,1
ATLANTIC AV,Commercial,13
ATLANTIC AV,Public & Quasi-Public,12
ATLANTIC AV,Vacant,9
ATLANTIC ST,Residential,14
ATLANTIC ST,Vacant,1
ATLANTIS ST,Residential,15
ATLANTIS ST,Vacant,1
ATWILL RD,Residential,14
ATWOOD SQ,Vacant,2
AU BON PAIN WY,Public & Quasi-Public,1
AUBURN PL,Residential,1
AUBURN SQ,Residential,3
AUBURN ST,Residential,25
AUBURN ST,Vacant,1
AUBURN TE,Vacant,1
AUCKLAND ST,Residential,38
AUCKLAND ST,Vacant,1
AUGUSTUS AV,Residential,29
AUGUSTUS AV,Vacant,1
AURIGA ST,Residential,23
AUSTIN AV,Industrial,1
AUSTIN AV,Vacant,1
AUSTIN ST,Commercial,1
AUSTIN ST,Public & Quasi-Public,17
AUSTIN ST,Residential,115
AUSTIN ST,Residential (Mixed-Use),1
AUSTIN ST,Vacant,13
AUTUMN ST,Public & Quasi-Public,6
AUTUMN ST,Residential,7
AUTUMN ST,Vacant,1
AVALON RD,Residential,30
AVALON RD,Vacant,1
AVENUE DE LAFAYETTE ,Public & Quasi-Public,3
AVENUE LOUIS PASTEUR ,Commercial,1
AVENUE LOUIS PASTEUR ,Public & Quasi-Public,3
AVENUE LOUIS PASTEUR ,Residential,1
AVERBUCH TE,Residential,1
AVERTON ST,Residential,22
AVERTON ST,Vacant,1
AVERY PL,Vacant,1
AVERY ST,Residential (Mixed-Use),1
AVILA RD,Residential,10
