st_loc,ptype,0
ALBEMARLE ST,112.0,2
ALBEMARLE ST,125.0,1
ALBEMARLE ST,132.0,1
ALBEMARLE ST,902.0,1
ALBERT PL,329.0,1
ALBERTA ST,101.0,7
ALBERTA ST,104.0,1
ALBERTA ST,106.0,1
ALBERTA ST,132.0,1
ALBERTA ST,337.0,2
ALBION PL,101.0,8
ALBION PL,104.0,2
ALBION PL,105.0,2
ALBION ST,101.0,15
ALBION ST,104.0,7
ALBION ST,105.0,5
ALBION ST,109.0,2
ALBION ST,130.0,1
ALBION ST,132.0,1
ALBION ST,986.0,1
ALBRIGHT ST,101.0,12
ALCOTT ST,101.0,3
ALCOTT ST,104.0,9
ALCOTT ST,111.0,1
ALCOTT ST,905.0,1
ALDER ST,101.0,1
ALDER ST,132.0,2
ALDIE ST,101.0,7
ALDIE ST,104.0,15
ALDIE ST,105.0,5
ALDIE ST,106.0,1
ALDIE ST,109.0,1
ALDIE ST,111.0,2
ALDIE ST,337.0,1
ALDO TE,101.0,6
ALDRICH ST,101.0,40
ALDRICH ST,104.0,18
ALDRICH ST,105.0,4
ALDRICH ST,132.0,2
ALDWIN RD,101.0,1
ALDWIN RD,105.0,1
ALDWORTH ST,101.0,14
ALDWORTH ST,104.0,5
ALEXANDER ST,101.0,16
ALEXANDER ST,104.0,8
ALEXANDER ST,105.0,4
ALEXANDER ST,111.0,1
ALEXANDER ST,113.0,38
ALEXANDER ST,125.0,3
ALEXANDER ST,132.0,16
ALEXANDER ST,902.0,2
ALFORD ST,317.0,1
ALFORD ST,337.0,1
ALFORD ST,400.0,1
ALFORD ST,424.0,1
ALFORD ST,442.0,1
ALFORD ST,957.0,1
ALFORD ST,985.0,8
ALFORD ST,986.0,1
ALFRED ST,101.0,1
ALGER ST,316.0,2
ALGER ST,390.0,2
ALGER ST,401.0,1
ALGER ST,440.0,5
ALGONQUIN ST,13.0,3
ALGONQUIN ST,101.0,10
ALGONQUIN ST,104.0,5
ALGONQUIN ST,105.0,2
ALGONQUIN ST,121.0,1
ALGONQUIN ST,905.0,1
ALGONQUIN ST,985.0,1
ALHAMBRA RD,101.0,4
ALHAMBRA RD,104.0,6
ALHAMBRA RD,132.0,1
ALICIA RD,101.0,1
ALICIA RD,104.0,29
ALICIA RD,106.0,1
ALICIA RD,976.0,1
ALKYRIS RD,101.0,1
ALKYRIS RD,130.0,1
ALKYRIS RD,132.0,2
ALLANDALE ST,101.0,12
ALLANDALE ST,106.0,1
ALLANDALE ST,109.0,2
ALLANDALE ST,118.0,1
ALLANDALE ST,132.0,2
ALLANDALE ST,389.0,2
ALLANDALE ST,902.0,1
ALLANDALE ST,979.0,3
ALLANDALE ST,985.0,1
ALLANDALE ST,986.0,1
ALLEGHANY ST,101.0,3
ALLEGHANY ST,104.0,10
ALLEGHANY ST,105.0,5
ALLEGHANY ST,109.0,1
ALLEGHANY ST,132.0,2
ALLEGHANY ST,390.0,1
ALLEGHANY ST,903.0,1
ALLEGHANY ST,905.0,2
ALLEGHANY ST,976.0,1
ALLEN RD,101.0,1
ALLEN RD,104.0,2
ALLEN RD,111.0,1
ALLEN ST,101.0,2
ALLEN ST,104.0,2
ALLEN ST,105.0,2
ALLEN ST,906.0,1
ALLENWOOD ST,101.0,11
ALLERTON ST,317.0,1
ALLERTON ST,337.0,1
ALLERTON ST,343.0,1
ALLERTON ST,344.0,1
ALLERTON ST,390.0,5
ALLEYNE ST,101.0,13
