st_loc,building_typology,0
DUDLEY ST,Multi-Family (2 units),10
DUDLEY ST,Multi-Family (3 units),9
DUDLEY ST,Multi-Family (4-6 units),11
DUDLEY ST,Multi-Family (7-30 units),8
DUDLEY ST,Multi-Family (>= 100 units),10
DUDLEY ST,Office,18
DUDLEY ST,Residential (Mixed-Use),11
DUDLEY ST,Restaurant,2
DUDLEY ST,Retail,23
DUDLEY ST,Single-Family,19
DUDLEY ST,Vacant,43
DUDLEY ST,Warehouse,1
DUDLEY ST,Worship,7
DUDLEY TE,Office,1
DUDLEY TE,Residential (Mixed-Use),1
DUDLEY TE,Single-Family,3
DUKE ST,Multi-Family (2 units),7
DUKE ST,Multi-Family (3 units),3
DUKE ST,Multi-Family (4-6 units),1
DUKE ST,Single-Family,5
DUMAS ST,Multi-Family (2 units),2
DUMAS ST,Multi-Family (3 units),1
DUMAS ST,Vacant,2
DUNBAR AV,Medical/Lab/Production,1
DUNBAR AV,Multi-Family (2 units),1
DUNBAR AV,Office,1
DUNBAR AV,School,1
DUNBARTON RD,Office,7
DUNBARTON RD,Vacant,8
DUNBOY ST,Multi-Family (2 units),12
DUNBOY ST,Multi-Family (3 units),1
DUNBOY ST,Multi-Family (7-30 units),1
DUNBOY ST,Single-Family,10
DUNBOY ST,Vacant,1
DUNCAN PL,Multi-Family (2 units),1
DUNCAN PL,Single-Family,1
DUNCAN PL,Vacant,1
DUNCAN ST,Multi-Family (2 units),3
DUNCAN ST,Multi-Family (3 units),7
DUNCAN ST,Single-Family,2
DUNCAN ST,Vacant,1
DUNCAN TE,Multi-Family (2 units),2
DUNCKLEE ST,Multi-Family (2 units),13
DUNFORD ST,Multi-Family (2 units),3
DUNFORD ST,Single-Family,2
DUNGARVEN RD,Vacant,1
DUNKELD ST,Multi-Family (31-99 units),3
DUNLAP ST,Multi-Family (3 units),15
DUNLAP ST,Vacant,3
DUNMORE ST,Multi-Family (3 units),3
DUNMORE ST,Multi-Family (4-6 units),1
DUNMORE ST,Residential (Mixed-Use),1
DUNMORE ST,Single-Family,3
DUNNS TE,Multi-Family (2 units),2
DUNNS TE,Vacant,2
DUNREATH ST,Multi-Family (2 units),1
DUNREATH ST,Multi-Family (3 units),9
DUNREATH ST,Office,1
DUNREATH ST,Single-Family,1
DUNREATH ST,Vacant,4
DUNSTER RD,Multi-Family (2 units),25
DUNSTER RD,Multi-Family (3 units),2
DUNSTER RD,Single-Family,5
DUNWELL ST,Multi-Family (2 units),1
DUNWELL ST,Single-Family,5
DURANT ST,Single-Family,14
DURANT ST,Vacant,2
DURHAM ST,Multi-Family (4-6 units),3
DURHAM ST,Single-Family,6
DURHAM ST,Vacant,1
DURLAND ST,Single-Family,5
DURLAND ST,Vacant,4
DURNELL AV,Multi-Family (2 units),14
DURNELL AV,Multi-Family (3 units),7
DURNELL AV,Single-Family,24
DURNELL AV,Vacant,1
DUSTIN ST,Multi-Family (2 units),24
DUSTIN ST,Multi-Family (3 units),4
DUSTIN ST,Multi-Family (7-30 units),2
DUSTIN ST,Single-Family,9
DUSTIN ST,Vacant,4
DUVAL ST,Multi-Family (2 units),3
DUVAL ST,Multi-Family (4-6 units),2
DUVAL ST,Single-Family,5
DUVAL ST,Vacant,1
DUXBURY RD,Multi-Family (2 units),3
DUXBURY RD,Single-Family,9
DWIGHT ST,Multi-Family (2 units),5
DWIGHT ST,Multi-Family (3 units),7
DWIGHT ST,Multi-Family (4-6 units),9
DWIGHT ST,Residential (Mixed-Use),1
DWIGHT ST,Single-Family,2
DWINELL ST,Single-Family,39
DYER AV,Vacant,1
DYER CT,Office,1
DYER CT,Vacant,1
DYER ST,Multi-Family (2 units),5
DYER ST,Multi-Family (3 units),3
DYER ST,Multi-Family (4-6 units),1
DYER ST,Single-Family,2
E BERKELEY ST,Garage,2
E BERKELEY ST,Multi-Family (31-99 units),1
E BERKELEY ST,Multi-Family (4-6 units),5
E BERKELEY ST,Multi-Family (7-30 units),1
E BERKELEY ST,Office,5
E BERKELEY ST,Residential (Mixed-Use),2
E BERKELEY ST,Retail,5
E BERKELEY ST,Supermarket,1
E BERKELEY ST,Vacant,2
E BERKELEY ST,Warehouse,1
E BOUNDARY RD,Office,1
E BROADWAY ,Convention/Assembly,1
E BROADWAY ,Multi-Family (2 units),28
E BROADWAY ,Multi-Family (3 units),46
E BROADWAY ,Multi-Family (4-6 units),16
E BROADWAY ,Multi-Family (7-30 units),6
E BROADWAY ,Office,8
E BROADWAY ,Residential (Mixed-Use),28
E BROADWAY ,Restaurant,1
E BROADWAY ,Retail,9
E BROADWAY ,Single-Family,33
E BROADWAY ,Supermarket,1
E BROADWAY ,Vacant,7
E BROADWAY ,Worship,1
E BROADWAY ST,Residential (Mixed-Use),1
E BROOKLINE ST,Garage,1
E BROOKLINE ST,Multi-Family (3 units),4
E BROOKLINE ST,Multi-Family (4-6 units),11
E BROOKLINE ST,Vacant,4
E CANTON ST,Vacant,1
E CONCORD ST,Convention/Assembly,1
E CONCORD ST,Multi-Family (2 units),3
E CONCORD ST,Multi-Family (3 units),3
E CONCORD ST,Multi-Family (4-6 units),4
E CONCORD ST,Single-Family,4
E CONCORD ST,Vacant,2
E COTTAGE ST,Convention/Assembly,1
E COTTAGE ST,Garage,1
E COTTAGE ST,Multi-Family (2 units),17
E COTTAGE ST,Multi-Family (3 units),28
E COTTAGE ST,Multi-Family (4-6 units),1
E COTTAGE ST,Multi-Family (>= 100 units),2
E COTTAGE ST,Office,8
E COTTAGE ST,Retail,5
E COTTAGE ST,Single-Family,3
E COTTAGE ST,Vacant,11
E COTTAGE ST,Warehouse,3
E COTTAGE ST,Worship,1
E DEDHAM ST,Office,1
E DEDHAM ST,Vacant,1
E EAGLE ST,Garage,2
E EAGLE ST,Medical/Lab/Production,1
E EAGLE ST,Multi-Family (2 units),7
E EAGLE ST,Multi-Family (3 units),29
E EAGLE ST,Multi-Family (4-6 units),1
E EAGLE ST,Multi-Family (7-30 units),1
E EAGLE ST,Single-Family,8
E EAGLE ST,Vacant,4
E EIGHTH ST,Multi-Family (2 units),30
E EIGHTH ST,Multi-Family (3 units),60
E EIGHTH ST,Multi-Family (4-6 units),2
E EIGHTH ST,Multi-Family (7-30 units),6
E EIGHTH ST,Multi-Family (>= 100 units),1
E EIGHTH ST,Office,1
E EIGHTH ST,Residential (Mixed-Use),3
E EIGHTH ST,Restaurant,1
E EIGHTH ST,Single-Family,48
E EIGHTH ST,Vacant,11
E FIFTH ST,Multi-Family (2 units),80
E FIFTH ST,Multi-Family (3 units),45
E FIFTH ST,Multi-Family (4-6 units),4
E FIFTH ST,Office,2
E FIFTH ST,Residential (Mixed-Use),2
E FIFTH ST,Retail,1
E FIFTH ST,Single-Family,60
E FIFTH ST,Vacant,3
E FIRST ST,Garage,4
E FIRST ST,Medical/Lab/Production,1
E FIRST ST,Multi-Family (3 units),4
E FIRST ST,Multi-Family (31-99 units),1
E FIRST ST,Office,2
E FIRST ST,Residential (Mixed-Use),1
E FIRST ST,Restaurant,1
E FIRST ST,Single-Family,7
E FIRST ST,Vacant,10
E FIRST ST,Warehouse,7
E FOURTH ST,Convention/Assembly,1
E FOURTH ST,Fire/Police,1
E FOURTH ST,Garage,2
E FOURTH ST,Multi-Family (2 units),34
E FOURTH ST,Multi-Family (3 units),50
E FOURTH ST,Multi-Family (31-99 units),1
E FOURTH ST,Multi-Family (4-6 units),7
E FOURTH ST,Multi-Family (7-30 units),1
E FOURTH ST,Office,2
E FOURTH ST,Residential (Mixed-Use),2
E FOURTH ST,Single-Family,58
E FOURTH ST,Vacant,2
E INDIA RO,Garage,1
E INDIA RO,Office,1
E NEWTON ST,Medical/Lab/Production,3
E NEWTON ST,Office,1
E NINTH ST,Multi-Family (31-99 units),1
E SECOND ST,Multi-Family (2 units),14
E SECOND ST,Multi-Family (3 units),34
E SECOND ST,Multi-Family (31-99 units),1
E SECOND ST,Multi-Family (4-6 units),6
E SECOND ST,Multi-Family (7-30 units),1
E SECOND ST,Office,3
E SECOND ST,Residential (Mixed-Use),2
E SECOND ST,Single-Family,23
E SECOND ST,Vacant,11
E SECOND ST,Warehouse,7
E SERVICE RD,Residential (Mixed-Use),1
E SEVENTH ST,Multi-Family (2 units),51
E SEVENTH ST,Multi-Family (3 units),53
E SEVENTH ST,Multi-Family (31-99 units),1
E SEVENTH ST,Multi-Family (4-6 units),4
E SEVENTH ST,School,1
E SEVENTH ST,Single-Family,51
E SEVENTH ST,Vacant,6
E SIXTH ST,Multi-Family (2 units),63
E SIXTH ST,Multi-Family (3 units),58
E SIXTH ST,Multi-Family (31-99 units),2
E SIXTH ST,Multi-Family (4-6 units),2
E SIXTH ST,Residential (Mixed-Use),1
E SIXTH ST,Single-Family,60
E SIXTH ST,Vacant,3
E SIXTH ST,Warehouse,2
E SPRINGFIELD ST,Multi-Family (2 units),2
E SPRINGFIELD ST,Multi-Family (4-6 units),21
E SPRINGFIELD ST,Multi-Family (7-30 units),1
E SPRINGFIELD ST,Single-Family,2
E SPRINGFIELD ST,Vacant,1
E ST,Multi-Family (2 units),8
E ST,Multi-Family (3 units),14
E ST,Multi-Family (4-6 units),6
E ST,Multi-Family (7-30 units),3
E ST,Office,2
E ST,Retail,1
E ST,Single-Family,16
E ST,Vacant,12
E ST,Warehouse,2
E THIRD ST,Garage,1
E THIRD ST,Multi-Family (2 units),44
E THIRD ST,Multi-Family (3 units),48
E THIRD ST,Multi-Family (4-6 units),4
E THIRD ST,Multi-Family (7-30 units),2
E THIRD ST,Office,2
E THIRD ST,Residential (Mixed-Use),2
E THIRD ST,Single-Family,35
E THIRD ST,Vacant,8
E THIRD ST,Warehouse,3
EAGLE PASS ZZ ,Office,1
EAGLE PASS ZZ ,Vacant,1
EAGLE SQ,Office,1
EAGLE ST,Single-Family,18
EAGLE ST,Vacant,1
EARHARDT RD,Office,2
EARL ST,Single-Family,7
EARL ST,Vacant,1
EARNSHAW ST,Single-Family,3
EAST SERVICE RD,Vacant,1
EAST ST,Multi-Family (3 units),15
EAST ST,Retail,1
EAST ST,Single-Family,1
EAST ST,Vacant,4
EAST ST,Warehouse,1
EASTBOURNE ST,Single-Family,23
EASTBURN PL,Multi-Family (2 units),1
EASTBURN PL,Single-Family,2
EASTBURN ST,Garage,1
EASTBURN ST,Multi-Family (2 units),6
EASTBURN ST,Multi-Family (3 units),1
EASTBURN ST,Single-Family,6
EASTBURN ST,Vacant,1
EASTERN AV,Office,2
EASTLAND RD,Single-Family,35
EASTMAN ST,Multi-Family (2 units),2
EASTMAN ST,Multi-Family (3 units),7
EASTMAN ST,Office,1
EASTMAN ST,Single-Family,12
EASTMAN ST,Vacant,2
EASTMONT RD,Single-Family,8
EASTON AV,Multi-Family (2 units),11
EASTON AV,Single-Family,5
EASTON AV,Vacant,7
EASTON AV,Warehouse,2
EASTON ST,Multi-Family (2 units),14
EASTON ST,Multi-Family (3 units),18
EASTON ST,Multi-Family (4-6 units),1
EASTON ST,Single-Family,1
EASTON ST,Worship,1
EASTWOOD CC,Single-Family,48
EASTWOOD CC,Vacant,3
EASTWOOD CT,Single-Family,1
EATONIA ST,Multi-Family (2 units),6
EATONIA ST,Vacant,1
EDEN ST,Multi-Family (2 units),6
EDEN ST,Multi-Family (3 units),3
EDEN ST,Single-Family,4
EDEN ST,Vacant,2
EDGE HILL ST,Multi-Family (2 units),2
EDGE HILL ST,Single-Family,16
EDGEBROOK RD,Multi-Family (2 units),1
EDGEBROOK RD,Single-Family,12
EDGEMERE RD,Garage,1
EDGEMERE RD,Multi-Family (>= 100 units),1
EDGEMERE RD,Office,1
EDGEMERE RD,Single-Family,33
EDGEMERE RD,Vacant,9
EDGEMONT ST,Multi-Family (2 units),2
EDGEMONT ST,Single-Family,8
EDGERLY PL,Garage,1
EDGERLY PL,Multi-Family (3 units),1
EDGERLY PL,Single-Family,1
EDGERLY RD,Multi-Family (3 units),1
EDGERLY RD,Multi-Family (31-99 units),1
EDGERLY RD,Multi-Family (4-6 units),2
EDGEWATER DR,Garage,1
EDGEWATER DR,Multi-Family (2 units),2
EDGEWATER DR,Office,3
EDGEWATER DR,Retail,1
EDGEWATER DR,Single-Family,6
EDGEWATER DR,Vacant,3
EDGEWATER DR,Warehouse,4
EDGEWAY TE,Office,1
EDGEWAY TE,Vacant,1
EDGEWOOD PK,Office,2
EDGEWOOD ST,Fire/Police,1
EDGEWOOD ST,Multi-Family (2 units),8
EDGEWOOD ST,Multi-Family (3 units),8
EDGEWOOD ST,Office,1
EDGEWOOD ST,Single-Family,7
EDGEWOOD ST,Vacant,4
EDGEWORTH PL,Office,1
EDINBORO ST,Medical/Lab/Production,1
EDINBORO ST,Office,4
EDINBORO ST,Retail,1
EDISON GREEN ,Multi-Family (2 units),8
EDISON GREEN ,Multi-Family (3 units),11
EDITH ST,Office,1
EDITH ST,Single-Family,3
EDNA RD,Single-Family,6
EDNA RD,Vacant,1
EDSON ST,Multi-Family (2 units),14
EDSON ST,Multi-Family (3 units),11
EDSON ST,Office,2
EDSON ST,Single-Family,17
EDSON ST,Vacant,11
EDSON TE,Multi-Family (2 units),5
EDWARDSON ST,Multi-Family (2 units),3
EDWARDSON ST,Single-Family,5
EDWIN ST,Multi-Family (2 units),18
EDWIN ST,Multi-Family (3 units),12
EDWIN ST,Multi-Family (4-6 units),1
EDWIN ST,Multi-Family (7-30 units),1
EDWIN ST,Single-Family,17
EDWIN ST,Vacant,4
EGAN WY,Multi-Family (2 units),1
EGAN WY,Single-Family,3
EGLESTON ST,Multi-Family (2 units),3
EGLESTON ST,Multi-Family (3 units),6
EGLESTON ST,Office,1
EGLESTON ST,Residential (Mixed-Use),1
EGLESTON ST,Single-Family,4
EGREMONT RD,Hotel,1
EGREMONT RD,Multi-Family (4-6 units),4
EGREMONT RD,Multi-Family (7-30 units),2
EGREMONT RD,Multi-Family (>= 100 units),1
EGREMONT RD,Single-Family,1
EIGHTH ST,Office,4
ELBA TE,Multi-Family (2 units),1
ELBOW ST,Multi-Family (3 units),2
ELDER ST,Garage,1
ELDER ST,Multi-Family (2 units),3
ELDER ST,Multi-Family (3 units),9
ELDER ST,Single-Family,5
ELDER ST,Vacant,4
ELDON ST,Multi-Family (2 units),1
ELDON ST,Office,1
ELDON ST,Single-Family,9
ELDORA ST,Multi-Family (2 units),1
ELDORA ST,Multi-Family (3 units),3
ELDORA ST,Single-Family,6
ELDORA ST,Vacant,1
ELDRIDGE RD,Multi-Family (2 units),7
ELDRIDGE RD,Multi-Family (3 units),2
ELDRIDGE RD,Single-Family,5
ELDRIDGE RD,Vacant,1
ELEANOR ST,Multi-Family (2 units),2
ELEANOR ST,Single-Family,1
ELECTRIC AV,Garage,1
ELECTRIC AV,Vacant,3
ELECTRIC AV,Warehouse,2
ELENE ST,Office,2
ELENE ST,Single-Family,1
ELGIN ST,Garage,1
ELGIN ST,Multi-Family (2 units),5
ELGIN ST,Multi-Family (3 units),4
ELGIN ST,Single-Family,6
ELGIN ST,Vacant,2
ELIOT PL,Multi-Family (2 units),2
ELIOT ST,Multi-Family (2 units),9
ELIOT ST,Multi-Family (3 units),1
ELIOT ST,Single-Family,17
ELIOT TE,Multi-Family (2 units),1
ELIOT TE,Multi-Family (3 units),1
ELIZABETH ST,Multi-Family (2 units),2
ELIZABETH ST,Multi-Family (3 units),2
ELIZABETH ST,Single-Family,2
ELKINS ST,Warehouse,1
ELKO ST,Multi-Family (2 units),3
ELKO ST,Multi-Family (3 units),1
ELKO ST,Multi-Family (31-99 units),1
ELLARD RD,Multi-Family (2 units),1
ELLARD RD,Single-Family,2
ELLARD RD,Vacant,1
ELLERY CT,Garage,1
ELLERY ST,Garage,2
ELLERY ST,Multi-Family (2 units),1
ELLERY ST,Multi-Family (3 units),3
ELLERY ST,Office,1
ELLERY ST,Single-Family,1
ELLERY ST,Vacant,3
ELLERY ST,Warehouse,1
ELLET ST,Vacant,3
ELLINGTON ST,Multi-Family (2 units),10
ELLINGTON ST,Multi-Family (3 units),16
ELLINGTON ST,Multi-Family (4-6 units),4
ELLINGTON ST,Office,4
ELLINGTON ST,Single-Family,1
ELLINGTON ST,Vacant,12
ELLIS ST,Multi-Family (2 units),4
ELLIS ST,Multi-Family (3 units),4
ELLIS ST,Multi-Family (4-6 units),1
ELLIS ST,Single-Family,5
ELLISON AV,Multi-Family (2 units),10
ELLISON AV,Single-Family,17
ELLSWOOD ST,Single-Family,6
ELLSWORTH ST,Single-Family,3
ELLSWORTH ST,Vacant,3
ELLWOOD ST,Multi-Family (2 units),1
ELLWOOD ST,Single-Family,1
ELM HILL AV,Multi-Family (2 units),2
ELM HILL AV,Multi-Family (3 units),7
ELM HILL AV,Multi-Family (7-30 units),1
ELM HILL AV,Residential (Mixed-Use),2
ELM HILL AV,Single-Family,2
ELM HILL AV,Vacant,1
ELM HILL PK,Multi-Family (2 units),14
ELM HILL PK,Multi-Family (3 units),4
ELM HILL PK,Multi-Family (4-6 units),1
ELM HILL PK,Office,1
ELM LAWN ,Multi-Family (2 units),1
ELM LAWN ,Single-Family,6
ELM ST,Multi-Family (2 units),30
ELM ST,Multi-Family (3 units),6
ELM ST,Single-Family,57
ELM ST,Vacant,6
ELM ST,Worship,2
ELMDALE ST,Multi-Family (2 units),5
ELMDALE ST,Single-Family,5
ELMER RD,Multi-Family (2 units),14
ELMER RD,Single-Family,20
ELMER RD,Vacant,1
ELMHURST ST,Multi-Family (2 units),3
ELMHURST ST,Multi-Family (3 units),5
ELMHURST ST,Office,3
ELMHURST ST,Single-Family,2
ELMHURST ST,Vacant,2
ELMIRA ST,Multi-Family (2 units),22
ELMIRA ST,Multi-Family (3 units),2
ELMIRA ST,Single-Family,4
ELMONT ST,Multi-Family (2 units),8
ELMONT ST,Multi-Family (3 units),3
ELMONT ST,Office,3
ELMONT ST,Single-Family,7
ELMONT ST,Vacant,7
ELMORE ST,Multi-Family (2 units),3
ELMORE ST,Multi-Family (3 units),4
ELMORE ST,Multi-Family (4-6 units),2
ELMORE ST,Single-Family,6
ELMWOOD ST,Vacant,1
ELTON ST,Multi-Family (2 units),5
ELTON ST,Multi-Family (3 units),1
ELTON ST,Single-Family,4
ELVEN RD,Multi-Family (2 units),3
ELVEN RD,Single-Family,3
ELWELL RD,Single-Family,4
ELWELL RD,Vacant,3
ELWYN RD,Multi-Family (2 units),1
ELWYN RD,Multi-Family (3 units),5
ELWYN RD,Vacant,1
ELY RD,Multi-Family (2 units),8
ELY RD,Single-Family,12
EMBANKMENT RD,Single-Family,2
EMBANKMENT RD,Vacant,3
EMBASSY RD,Multi-Family (7-30 units),1
EMBASSY RD,Single-Family,15
EMELIA TE,Single-Family,7
EMERALD CT,Residential (Mixed-Use),1
EMERSON PL,Residential (Mixed-Use),1
EMERSON ST,Multi-Family (2 units),16
EMERSON ST,Multi-Family (3 units),10
EMERSON ST,Multi-Family (4-6 units),1
EMERSON ST,Multi-Family (7-30 units),1
EMERSON ST,Office,1
EMERSON ST,Restaurant,3
EMERSON ST,Retail,2
EMERSON ST,Single-Family,25
EMERY RD,Garage,1
EMMET PL,Multi-Family (3 units),1
EMMETT ST,Multi-Family (2 units),5
EMMETT ST,Multi-Family (3 units),1
EMMETT ST,Office,11
EMMETT ST,Single-Family,11
EMMETT ST,Vacant,12
EMMONS ST,Multi-Family (2 units),3
EMMONS ST,Multi-Family (4-6 units),2
EMMONS ST,Multi-Family (7-30 units),1
EMMONS ST,Single-Family,4
EMMONSDALE RD,Single-Family,10
EMPIRE ST,Multi-Family (2 units),3
EMPIRE ST,Multi-Family (3 units),10
EMPIRE ST,Multi-Family (4-6 units),3
EMPIRE ST,Multi-Family (7-30 units),2
EMPIRE ST,Vacant,2
EMPIRE ST,Warehouse,1
EMROSE TE,Multi-Family (3 units),3
EMROSE TE,Vacant,2
ENDICOTT CT,Multi-Family (2 units),3
ENDICOTT CT,Multi-Family (3 units),1
ENDICOTT CT,Vacant,1
ENDICOTT ST,Garage,2
ENDICOTT ST,Multi-Family (2 units),2
ENDICOTT ST,Multi-Family (3 units),6
ENDICOTT ST,Multi-Family (4-6 units),33
ENDICOTT ST,Multi-Family (7-30 units),6
ENDICOTT ST,Office,1
ENDICOTT ST,Residential (Mixed-Use),2
ENDICOTT ST,Single-Family,1
ENDICOTT ST,Vacant,3
ENDICOTT TE,Single-Family,2
ENFIELD ST,Multi-Family (2 units),3
ENFIELD ST,Single-Family,3
ENGLEWOOD AV,Multi-Family (2 units),4
ENGLEWOOD AV,Multi-Family (3 units),1
ENGLEWOOD AV,Multi-Family (4-6 units),5
ENGLEWOOD AV,Multi-Family (7-30 units),4
ENGLEWOOD AV,Single-Family,2
ENNIS RD,Multi-Family (2 units),3
ENNIS RD,Single-Family,2
ENNIS RD,Vacant,4
ENTERPRISE ST,Multi-Family (7-30 units),1
ENTERPRISE ST,Vacant,2
ENTERPRISE ST,Warehouse,2
EPPING ST,Vacant,2
ERIC RD,Multi-Family (2 units),4
ERIC RD,Multi-Family (3 units),1
ERICSSON ST,Convention/Assembly,1
ERICSSON ST,Garage,1
ERICSSON ST,Medical/Lab/Production,2
ERICSSON ST,Office,1
ERICSSON ST,Retail,3
ERICSSON ST,Vacant,4
ERICSSON ST,Warehouse,2
ERIE PL,Multi-Family (2 units),2
ERIE PL,Single-Family,2
ERIE ST,Convention/Assembly,3
ERIE ST,Medical/Lab/Production,1
ERIE ST,Multi-Family (2 units),2
ERIE ST,Multi-Family (3 units),7
ERIE ST,Multi-Family (4-6 units),1
ERIE ST,Multi-Family (7-30 units),1
ERIE ST,Office,4
ERIE ST,Single-Family,3
ERIE ST,Vacant,5
ERIE ST,Worship,2
ERNEST AV,Multi-Family (2 units),2
ERNEST AV,Office,2
ERNEST AV,Single-Family,7
ERNEST AV,Vacant,1
ERNST ST,Multi-Family (2 units),2
ERNST ST,Multi-Family (4-6 units),1
ERNST ST,Vacant,4
ESKRIDGE ST,Convention/Assembly,2
ESMOND ST,Convention/Assembly,1
ESMOND ST,Multi-Family (2 units),12
ESMOND ST,Multi-Family (3 units),21
ESMOND ST,Multi-Family (4-6 units),2
ESMOND ST,Multi-Family (7-30 units),1
ESMOND ST,Residential (Mixed-Use),2
ESMOND ST,Single-Family,2
ESMOND ST,Worship,1
ESSEX ST,Garage,1
ESSEX ST,Medical/Lab/Production,1
ESSEX ST,Multi-Family (2 units),5
ESSEX ST,Multi-Family (3 units),2
ESSEX ST,Office,1
ESSEX ST,Residential (Mixed-Use),1
ESSEX ST,Restaurant,1
ESSEX ST,Retail,1
ESSEX ST,Single-Family,17
ESSEX ST,Vacant,3
ESTELLA ST,Multi-Family (2 units),1
ESTELLA ST,Multi-Family (3 units),5
ESTELLA ST,Multi-Family (4-6 units),1
ESTELLA ST,Vacant,4
ESTES AV,Single-Family,1
ESTES AV,Vacant,5
ESTHER RD,Single-Family,3
ESTRELLA ST,Multi-Family (3 units),3
ESTRELLA ST,Retail,1
ESTRELLA ST,Single-Family,1
ESTRELLA ST,Vacant,1
ETHEL ST,Multi-Family (2 units),6
ETHEL ST,Multi-Family (3 units),1
ETHEL ST,Single-Family,19
ETHEL ST,Vacant,2
ETNA ST,Multi-Family (2 units),29
ETNA ST,Multi-Family (3 units),5
ETNA ST,Multi-Family (4-6 units),1
ETNA ST,Single-Family,1
ETNA ST,Vacant,2
EUCLID ST,Convention/Assembly,2
EUCLID ST,Multi-Family (2 units),2
EUCLID ST,Office,1
EUCLID ST,Single-Family,6
EUGENIA RD,Multi-Family (2 units),1
EUGENIA RD,Single-Family,4
EULITA TE,Multi-Family (2 units),1
EULITA TE,Multi-Family (3 units),2
EULITA TE,Multi-Family (4-6 units),1
EUNICE ST,Multi-Family (2 units),2
EUNICE ST,Multi-Family (3 units),1
EUNICE ST,Vacant,1
EUSTIS ST,Convention/Assembly,1
EUSTIS ST,Multi-Family (2 units),3
EUSTIS ST,Multi-Family (3 units),3
EUSTIS ST,Multi-Family (7-30 units),1
EUSTIS ST,Office,2
EUSTIS ST,Single-Family,21
EUSTIS ST,Vacant,22
EUSTIS ST,Warehouse,1
EUSTON RD,Multi-Family (2 units),5
EUSTON RD,Multi-Family (3 units),7
EUSTON RD,Multi-Family (4-6 units),1
EUSTON RD,Multi-Family (7-30 units),1
EUSTON RD,Office,1
EUSTON RD,Vacant,2
EUTAW ST,Multi-Family (2 units),21
EUTAW ST,Multi-Family (3 units),32
EUTAW ST,Multi-Family (4-6 units),4
EUTAW ST,Multi-Family (7-30 units),1
EUTAW ST,Single-Family,21
EUTAW ST,Vacant,3
EVANDALE TE,Multi-Family (2 units),1
EVANDALE TE,Single-Family,4
EVANDALE TE,Vacant,1
EVANS RD,Single-Family,1
EVANS RD,Vacant,1
EVANS ST,Multi-Family (2 units),13
EVANS ST,Multi-Family (3 units),11
EVANS ST,Single-Family,29
EVANS ST,Vacant,8
EVANS WY,Convention/Assembly,6
EVELYN ST,Multi-Family (2 units),2
EVELYN ST,Multi-Family (3 units),21
EVELYN ST,Multi-Family (4-6 units),3
EVELYN ST,Single-Family,1
EVELYN ST,Vacant,5
EVERDEAN ST,Multi-Family (2 units),6
EVERDEAN ST,Multi-Family (3 units),1
EVERDEAN ST,Office,2
EVERDEAN ST,Single-Family,24
EVERDEAN ST,Vacant,2
EVERETT AV,Multi-Family (2 units),1
EVERETT AV,Multi-Family (3 units),3
EVERETT AV,Multi-Family (4-6 units),1
EVERETT AV,Office,2
EVERETT AV,Single-Family,2
EVERETT CT,Multi-Family (2 units),2
EVERETT CT,Single-Family,4
EVERETT PL,Multi-Family (2 units),1
EVERETT PL,Single-Family,3
EVERETT PL,Vacant,1
EVERETT SQ,Multi-Family (2 units),1
EVERETT SQ,Multi-Family (3 units),2
EVERETT SQ,Single-Family,6
EVERETT ST,Garage,2
EVERETT ST,Medical/Lab/Production,1
EVERETT ST,Multi-Family (2 units),42
EVERETT ST,Multi-Family (3 units),67
EVERETT ST,Multi-Family (4-6 units),7
EVERETT ST,Multi-Family (7-30 units),1
EVERETT ST,Office,4
EVERETT ST,Residential (Mixed-Use),3
EVERETT ST,School,1
EVERETT ST,Single-Family,48
EVERETT ST,Vacant,25
EVERETT ST,Warehouse,5
EVERETT ST,Worship,1
EVERGREEN ST,Multi-Family (2 units),7
EVERGREEN ST,Multi-Family (3 units),4
EVERGREEN ST,Multi-Family (7-30 units),1
EVERGREEN ST,Single-Family,4
EVERGREEN ST,Vacant,1
EVERTON ST,Multi-Family (2 units),3
EVERTON ST,Multi-Family (3 units),11
EVERTON ST,Single-Family,5
EVERTON ST,Vacant,2
EWER ST,Vacant,1
EWER ST,Warehouse,2
EXETER ST,Hotel,1
EXETER ST,Multi-Family (2 units),2
EXETER ST,Multi-Family (3 units),1
EXETER ST,Multi-Family (7-30 units),2
EXETER ST,Office,1
EXETER ST,Residential (Mixed-Use),1
EXETER ST,Retail,1
EXETER ST,Single-Family,5
F ST,Multi-Family (2 units),12
F ST,Multi-Family (3 units),8
F ST,Multi-Family (7-30 units),1
F ST,Office,3
F ST,Restaurant,1
F ST,School,1
F ST,Single-Family,34
F ST,Vacant,6
FABYAN ST,Convention/Assembly,6
FABYAN ST,Multi-Family (3 units),7
FABYAN ST,Office,1
FABYAN ST,Vacant,3
FACTORY ST,Retail,1
FACTORY ST,Supermarket,1
FACTORY ST,Warehouse,1
FAIRBANKS ST,Multi-Family (2 units),13
FAIRBANKS ST,Multi-Family (3 units),13
FAIRBANKS ST,Multi-Family (4-6 units),1
FAIRBANKS ST,Single-Family,13
FAIRBURY ST,Office,2
FAIRFAX ST,Single-Family,8
FAIRFIELD ST,Multi-Family (2 units),1
FAIRFIELD ST,Multi-Family (3 units),3
FAIRFIELD ST,Multi-Family (4-6 units),3
FAIRFIELD ST,Multi-Family (7-30 units),1
