OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Larceny,2018-03-16,5077 N COLORADO BLVD
Criminal Mischief-Property,2015-11-13,1498 N IVANHOE ST
Burglary,2018-02-21,4430 N GARFIELD ST
Burglary,2019-02-18,2145 W EVANS AVE
Robbery-Business,2015-03-21,3801 E 40TH AVE
Larceny,2017-08-09,10700 E DARTMOUTH AVE
All Other Crimes,2018-03-18,4690 N BRIGHTON BLVD
Burglary,2016-04-15,6666 E STAPLETON S DR
Burglary,2018-02-03,4305 N BRIGHTON BLVD
Robbery-Street-Res,2015-06-30,E 37TH AVE / N FRANKLIN ST
Larceny,2015-07-31,4975 N VASQUEZ BLVD
Burglary,2015-09-08,2020 S BROADWAY ST
Criminal Mischief-Property,2015-12-11,1331 19TH ST
Burglary,2016-09-26,7289 E HAMPDEN AVE
Theft from Motor Vehicle,2016-08-01,3481 S FENTON ST
Larceny,2017-01-19,54 N LIPAN ST
Burglary,2016-04-21,4500 N WASHINGTON ST
Burglary,2015-12-26,4550 S KIPLING ST
Burglary,2018-03-22,4401 E 46TH AVE
Burglary,2015-02-23,800 PARK AVEW
Larceny,2015-04-23,1126 S SHERIDAN BLVD
Robbery-Street-Res,2016-05-24,12525 E ALBROOK DR
Robbery-Street-Res,2015-08-15,16TH ST / BLAKE ST
Burglary,2018-02-02,1920 S CHEROKEE ST
Burglary,2018-02-14,3495 S KNOX CT
Criminal Mischief-Graffiti,2019-02-18,6625 LEETSDALE DR
Burglary,2018-02-28,4640 N IRONTON ST
Burglary,2018-02-20,1885 W DARTMOUTH AVE
All Other Crimes,2015-03-28,1617 W 12TH AVE
Burglary,2018-03-06,4414 N VINE ST
Burglary,2018-03-01,3435 S YOSEMITE ST
Burglary,2016-11-20,4359 N CLAUDE CT
Burglary,2018-02-19,8151 E COLFAX AVE
Robbery-Street-Res,2018-02-14,21531 E 46TH AVE
Burglary,2016-07-30,1346 W CEDAR AVE
Burglary,2015-03-30,80 S PENNSYLVANIA ST
Agg ASLT-Firearm,2015-10-14,746 S WOLFF ST
Drug Offenses,2015-09-26,20 E 9TH AVE
Robbery-Street-Res,2015-09-07,4255 N KITTREDGE ST
Burglary,2015-10-24,4550 S KIPLING ST
Burglary,2016-06-13,1341 S HUMBOLDT ST
Simple Assault,2018-03-18,4690 N BRIGHTON BLVD
Burglary,2018-05-03,1568 S FEDERAL BLVD
Criminal Mischief-Vehicle,2019-02-10,1308 S JASON ST
Burglary,2016-08-30,330 S DAYTON ST
Burglary,2015-01-13,742 N RALEIGH ST
Burglary,2015-08-14,1240 S BANNOCK ST
Burglary,2016-08-18,4975 N VASQUEZ BLVD
Robbery-Street-Res,2015-03-22,3030 S FEDERAL BLVD
Burglary,2015-11-11,80 S PENNSYLVANIA ST
Burglary,2016-01-16,777 N CANOSA CT
Larceny,2015-10-06,1332 S CHEROKEE ST
All Other Crimes,2015-08-03,1201 20TH ST
Burglary,2016-12-18,1055 S FOX ST
Burglary,2015-04-27,20731 E 48TH PL
Burglary,2018-02-26,2420 S COLORADO BLVD
Burglary,2015-09-30,3900 E 48TH AVE
Burglary,2016-12-11,505 W 40TH AVE
Burglary,2016-02-12,2193 W EVANS AVE
Burglary,2016-06-27,2420 S COLORADO BLVD
Burglary,2015-11-14,2675 W 38TH AVE
Drug Offenses,2018-04-04,1319 S CANOSA CT
All Other Crimes,2019-01-10,970 N LINCOLN ST
Drug Offenses,2018-05-03,1201 20TH ST
Burglary,2018-03-25,3819 N QUENTIN ST
Simple Assault,2018-05-03,1201 20TH ST
All Other Crimes,2018-03-18,4690 N BRIGHTON BLVD
Robbery-Street-Res,2015-07-13,E ELK PL / N CRYSTAL ST
All Other Crimes,2018-02-23,4012 W 38TH AVE
Criminal Mischief-Property,2018-04-22,82 S FEDERAL BLVD
Burglary,2016-12-26,1810 S BROADWAY ST
Burglary,2016-01-14,1127 S ELIZABETH ST
