OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Theft from Motor Vehicle,2016-01-14,2601 N ZUNI ST
Robbery-Street-Res,2016-04-21,3900 N ELATI ST
Burglary,2015-11-27,7739 E COLFAX AVE
Burglary,2017-08-11,20 E 9TH AVE
Robbery-Street-Res,2017-04-23,4660 N PEORIA ST
All Other Crimes,2017-03-07,1011 W 45TH AVE
Burglary,2016-11-17,2071 S DOWNING ST
Burglary,2017-08-19,5201 W 48TH AVE
Burglary,2017-08-18,4980 N JACKSON ST
Burglary,2017-02-28,2707 W 38TH AVE
Burglary,2017-03-06,2207 N HOOKER ST
Burglary,2017-04-22,3435 S YOSEMITE ST
Burglary,2016-02-07,3060 N CLAYTON ST
Burglary,2016-11-21,2001 S BROADWAY ST
Burglary,2017-08-19,2647 S LOWELL BLVD
Burglary,2017-08-09,4400 N GRAPE ST
Burglary,2015-11-16,2008 N FEDERAL BLVD
Burglary,2016-08-25,2251 S BROADWAY ST
Burglary,2017-08-01,420 N UTICA ST
Burglary,2015-11-14,4095 N JACKSON ST
Burglary,2015-11-05,1005 N FEDERAL BLVD
Burglary,2016-03-12,4209 N DELAWARE ST
Agg ASLT-Other,2017-07-25,1800 BLOCK E COLFAX AVE
Burglary,2016-10-23,1133 N BANNOCK ST
All Other Crimes,2015-12-30,3450 N BRIGHTON BLVD
Larceny,2015-02-10,330 N FEDERAL BLVD
Robbery-Street-Res,2015-11-20,4620 N PEORIA ST
All Other Crimes,2017-08-21,1174 S CHEROKEE ST
Burglary,2016-07-01,1810 S BROADWAY ST
Burglary,2016-07-01,3835 N ELM ST
Burglary,2017-02-09,432 S BROADWAY ST
Burglary,2016-02-24,6853 LEETSDALE DR
Burglary,2017-03-13,82 S FEDERAL BLVD
Burglary,2016-05-01,4641 N CLAYTON ST
Burglary,2016-06-03,1941 W EVANS AVE
Burglary,2016-06-03,4095 N JACKSON ST
Burglary,2016-07-10,1397 S CHEROKEE ST
Burglary,2017-03-17,1178 S KALAMATH ST
Burglary,2016-02-23,3450 N BRIGHTON BLVD
Burglary,2017-04-25,2251 S BROADWAY ST
Burglary,2017-04-14,1045 N DOWNING ST
Drug Offenses,2015-02-20,4620 N PEORIA ST
Criminal Mischief-Property,2017-03-13,10555 E 45TH AVE
Burglary,2016-07-01,6853 LEETSDALE DR
Burglary,2017-06-21,3755 N JACKSON ST
Burglary,2016-06-09,380 N QUIVAS ST
Burglary,2016-08-13,1075 S JASON ST
Burglary,2016-04-10,815 S ONEIDA ST
Burglary,2017-06-16,4 S SANTA FE DR
Burglary,2016-12-17,120 S KALAMATH ST
Larceny,2016-04-12,4495 N WASHINGTON ST
Burglary,2018-09-18,2020 S COLORADO BLVD
Burglary,2016-01-23,1451 24TH ST
Robbery-Street-Res,2019-03-29,W EVANS AVE / S TEJON ST
Simple Assault,2019-10-07,2121 S JASON ST
Burglary,2019-10-06,2895 W 8TH AVE
Theft from Motor Vehicle,2015-07-07,4572 N FREEPORT WAY
Burglary,2015-03-07,777 N UMATILLA ST
Burglary,2019-05-16,399 S HARRISON ST
Burglary,2019-05-16,135 S BROADWAY ST
Burglary,2019-08-16,4105 N JASON ST
Agg ASLT-Other,2018-06-19,445 N FEDERAL BLVD
Burglary,2016-04-16,432 S BROADWAY ST
Burglary,2019-07-17,1911 S BROADWAY ST
Burglary,2018-09-27,2001 S BROADWAY ST
Burglary,2018-09-26,399 S HARRISON ST
Burglary,2018-09-27,399 S HARRISON ST
Burglary,2018-06-26,330 S DAYTON ST
Agg ASLT-Other,2015-08-07,6302 E COLFAX AVE
Larceny,2016-09-27,577 S JASON ST
Burglary,2019-07-25,505 W 40TH AVE
Burglary,2019-09-26,3814 WALNUT ST
Burglary,2019-09-26,4902 E SMITH RD
Larceny,2019-09-15,3937 W COLFAX AVE
Larceny,2019-04-05,11101 E 51ST AVE
Burglary,2019-08-15,3900 E 48TH AVE
Burglary,2019-09-27,5201 W 48TH AVE
Burglary,2016-11-29,1100 S KALAMATH ST
Robbery-Street-Res,2015-05-17,1700 BLOCK E MLK BLVD
Simple Assault,2019-09-17,3835 N ELM ST
Criminal Mischief-Property,2018-08-01,7380 E COLFAX AVE
Auto Theft,2019-06-17,260 N BROADWAY ST
Auto Theft,2018-09-04,4785 N ELATI ST
Burglary,2019-08-31,4750 N NOME ST
Drug Offenses,2019-07-25,4359 N CLAUDE CT
Burglary,2018-09-27,2070 S HURON ST
Burglary,2019-07-17,777 N CANOSA CT
Burglary,2015-03-04,1191 S BANNOCK ST
Criminal Mischief-Property,2018-08-31,2000 S DAHLIA ST
Burglary,2019-05-25,4655 E 46TH AVE
Larceny,2019-10-02,1620 MARKET ST
Burglary,2019-05-23,3814 WALNUT ST
Burglary,2019-09-11,399 S HARRISON ST
Criminal Mischief-Property,2018-09-13,74 N FEDERAL BLVD
Burglary,2019-09-12,82 S FEDERAL BLVD
Burglary,2019-07-05,11080 E 47TH AVE
Burglary,2019-08-19,5077 N COLORADO BLVD
All Other Crimes,2019-07-15,2949 W ALAMEDA AVE
Burglary,2018-09-18,2390 S BROADWAY ST
Burglary,2019-05-24,3814 WALNUT ST
Burglary,2019-05-14,4837 N WASHINGTON ST
Weapons Offense,2019-07-25,4401 E 46TH AVE
Burglary,2019-05-10,1736 N DOWNING ST
Burglary,2019-07-24,4750 N NOME ST
Robbery-Street-Res,2019-08-19,5540 N BLACKHAWK WAY
All Other Crimes,2019-07-18,830 N WYANDOT ST
Burglary,2015-03-12,2427 S ST PAUL ST
Burglary,2019-07-08,2215 E MISSISSIPPI AVE
Burglary,2019-08-14,5110 N RACE ST
Burglary,2019-08-14,5885 E EVANS AVE
Larceny,2018-08-31,1350 S SHERIDAN BLVD
Theft from Motor Vehicle,2018-09-04,577 S JASON ST
All Other Crimes,2019-05-14,1736 N DOWNING ST
Burglary,2019-08-03,2675 S SANTA FE DR
Burglary,2019-08-03,4902 E SMITH RD
Burglary,2019-06-20,777 N UMATILLA ST
Burglary,2015-01-07,501 W 40TH AVE
Burglary,2019-08-19,1325 S INCA ST
All Other Crimes,2019-10-23,1301 S CHEROKEE ST
Burglary,2019-07-08,5885 E EVANS AVE
Burglary,2019-06-07,1798 W MISSISSIPPI AVE
Burglary,2019-05-16,4400 N GRAPE ST
Burglary,2019-07-08,3801 N JASON ST
Larceny,2019-05-16,3460 W 32ND AVE
Burglary,2019-05-14,6666 E STAPLETON S DR
Burglary,2019-07-08,3995 E 50TH AVE
Burglary,2019-09-10,7870 W QUINCY AVE
Drug Offenses,2019-07-15,2949 W ALAMEDA AVE
Burglary,2019-09-01,11975 E 40TH AVE
Criminal Mischief-Property,2019-09-01,5130 E COLFAX AVE
Burglary,2019-08-09,1617 W 12TH AVE
Larceny,2019-10-31,4986 MORRISON RD
Burglary,2019-08-09,4750 N NOME ST
Larceny,2018-12-03,1500 E COLFAX AVE
Larceny,2019-08-30,1233 W ALAMEDA AVE
Robbery-Street-Res,2019-04-11,1885 S QUEBEC WAY
Burglary,2019-07-25,120 S KALAMATH ST
Burglary,2019-07-25,4401 E 46TH AVE
Theft from Motor Vehicle,2019-10-31,3700 BLOCK N PERRY ST
Theft from Motor Vehicle,2019-06-19,4902 E SMITH RD
Burglary,2019-07-02,1178 S KALAMATH ST
Criminal Mischief-Property,2019-05-18,688 N BRYANT ST
Burglary,2019-07-25,1355 N SANTA FE DR
Criminal Mischief-Property,2019-09-03,4935 N YORK ST
Burglary,2019-09-03,2601 W ALAMEDA AVE
Burglary,2019-09-03,3955 N ONEIDA ST
Burglary,2019-09-02,3900 E 48TH AVE
Burglary,2019-08-19,3857 N ELM ST
Burglary,2015-02-27,777 N UMATILLA ST
Burglary,2019-07-02,2001 S BROADWAY ST
Burglary,2019-07-02,120 S KALAMATH ST
Burglary,2015-06-18,3954 N WILLIAMS ST
Agg ASLT-Firearm,2015-01-06,8100 E COLFAX AVE
All Other Crimes,2015-04-05,432 S BROADWAY ST
Burglary,2019-09-10,4935 N YORK ST
Criminal Mischief-Property,2015-05-31,4902 E SMITH RD
Burglary,2015-06-23,1395 S ACOMA ST
Larceny,2015-10-25,432 S BROADWAY ST
Burglary,2015-03-29,120 S KALAMATH ST
Burglary,2015-01-07,4935 N YORK ST
Robbery-Street-Res,2015-06-24,1400 BLOCK N MARIPOSA ST
Robbery-Street-Res,2015-06-27,N BROADWAY ST / W COLFAX AVE
Robbery-Street-Res,2015-05-03,E COLFAX AVE / N COOK ST
Robbery-Street-Res,2015-05-17,2800 BLOCK LARIMER ST
All Other Crimes,2015-01-18,2690 N GRAPE ST
Burglary,2015-11-24,1555 N LAFAYETTE ST
All Other Crimes,2015-05-15,4620 N PEORIA ST
Criminal Mischief-Property,2015-05-14,1355 N SANTA FE DR
Drug Offenses,2015-09-25,985 S LOGAN ST
Larceny,2015-03-02,155 N FEDERAL BLVD
Burglary,2015-01-19,3995 E 50TH AVE
Burglary,2015-05-19,1155 S CHEROKEE ST
Burglary,2015-09-24,2615 WELTON ST
Burglary,2015-05-20,3690 N ELM ST
Burglary,2019-04-23,4750 N NOME ST
All Other Crimes,2015-05-13,2609 WALNUT ST
Larceny,2015-06-29,509 W 6TH AVE
Robbery-Street-Res,2015-06-29,1133 W 8TH AVE
Auto Theft,2015-06-29,1133 W 8TH AVE
Burglary,2015-01-10,5475 N PEORIA ST
Burglary,2015-06-25,1755 S BROADWAY ST
Burglary,2019-04-24,5070 N OAKLAND ST
Simple Assault,2019-04-12,4620 N PEORIA ST
Burglary,2015-04-29,1798 W MISSISSIPPI AVE
Burglary,2015-04-29,1197 S BANNOCK ST
Burglary,2015-07-18,4335 N RACE ST
Burglary,2015-05-26,1172 W VIRGINIA AVE
Burglary,2015-01-09,2028 E COLFAX AVE
Simple Assault,2015-04-05,E 19TH AVE / N OLIVE ST
Burglary,2015-03-09,1810 S BROADWAY ST
Burglary,2015-06-21,1241 N MARION ST
Burglary,2019-09-03,1126 S SHERIDAN BLVD
Burglary,2015-01-11,5885 E EVANS AVE
Larceny,2015-05-14,219 N VALLEJO ST
Burglary,2015-07-08,6853 LEETSDALE DR
Burglary,2015-07-08,735 W BAYAUD AVE
Burglary,2019-04-11,701 W MISSISSIPPI AVE
Criminal Mischief-Property,2015-09-13,2209 W 32ND AVE
Burglary,2015-09-13,1126 S SHERIDAN BLVD
Burglary,2015-07-18,1705 N FRANKLIN ST
Burglary,2019-09-10,4550 S KIPLING ST
Burglary,2015-05-10,4802 N BRIGHTON BLVD
Criminal Mischief-Property,2019-10-23,1301 S CHEROKEE ST
Burglary,2019-10-23,525 N BRYANT ST
Burglary,2019-05-16,2042 S BANNOCK ST
Criminal Mischief-Property,2019-07-18,830 N WYANDOT ST
Larceny,2015-01-27,1112 N BROADWAY ST
Burglary,2015-06-06,6302 E COLFAX AVE
Burglary,2015-10-06,3435 S YOSEMITE ST
Burglary,2015-08-24,1818 N MARION ST
Criminal Mischief-Property,2019-08-16,5395 E 39TH AVE
Larceny,2015-05-26,1250 5TH ST
Theft from Motor Vehicle,2015-09-01,445 N FEDERAL BLVD
Burglary,2015-05-23,1255 W VIRGINIA AVE
Robbery-Street-Res,2015-07-15,W 13TH AVE / N KNOX CT
Burglary,2015-06-27,5077 N COLORADO BLVD
All Other Crimes,2016-02-18,333 W ELLSWORTH AVE
Burglary,2016-08-05,835 E 50TH AVE
Burglary,2015-12-28,4359 N CLAUDE CT
All Other Crimes,2016-03-24,7739 E COLFAX AVE
Burglary,2015-08-23,777 N UMATILLA ST
Burglary,2015-08-23,400 S LIPAN ST
Burglary,2016-07-20,505 N BRYANT ST
Theft from Motor Vehicle,2016-05-11,11100 E 51ST AVE
Agg ASLT-Firearm,2017-02-12,580 S SHERIDAN BLVD
Robbery-Street-Res,2017-03-07,2207 N HOOKER ST
Burglary,2017-07-13,260 N SANTA FE DR
Robbery-Business,2016-04-27,5055 E 38TH AVE
Burglary,2016-08-10,4501 N ADAMS ST
Simple Assault,2015-12-09,1505 S FEDERAL BLVD
Burglary,2017-05-26,970 S ONEIDA ST
Burglary,2016-05-10,1350 S SHERIDAN BLVD
Larceny,2015-11-08,1579 N FRANKLIN ST
Burglary,2015-06-21,2600 W BARBERRY PL
Agg ASLT-Firearm,2015-03-21,3801 E 40TH AVE
Burglary,2015-01-21,4550 S KIPLING ST
Burglary,2016-07-15,4935 N YORK ST
Larceny,2015-06-09,2205 19TH ST
Burglary,2017-04-17,1535 N YORK ST
Burglary,2015-01-19,3121 E COLFAX AVE
Burglary,2015-05-21,870 N NAVAJO ST
Burglary,2017-07-12,2036 N PERRY ST
Burglary,2017-03-07,2207 N HOOKER ST
Larceny,2017-05-19,1178 S KALAMATH ST
All Other Crimes,2017-05-20,830 N WYANDOT ST
Burglary,2016-08-15,2777 S COLORADO BLVD
Burglary,2015-07-18,400 S LIPAN ST
Burglary,2015-06-24,835 E 50TH AVE
All Other Crimes,2017-06-30,4910 N FOX ST
Burglary,2015-07-14,1920 S CHEROKEE ST
Burglary,2015-07-03,4228 N YORK ST
Robbery-Street-Res,2015-06-13,18TH ST / MARKET ST
Larceny,2017-02-14,4935 N YORK ST
Burglary,2016-05-24,1355 S INCA ST
All Other Crimes,2015-03-28,1617 W 12TH AVE
Burglary,2015-06-17,5140 N CLARKSON ST
Burglary,2015-05-25,5110 N RACE ST
Burglary,2015-05-28,5194 N WASHINGTON ST
Burglary,2015-09-14,54 N LIPAN ST
Burglary,2017-02-18,665 N KALAMATH ST
Burglary,2016-04-04,1660 N PEARL ST
Burglary,2017-04-18,4707 N LIPAN ST
Burglary,2016-03-20,4305 N BRIGHTON BLVD
Burglary,2017-06-15,2268 S DELAWARE ST
Larceny,2016-11-02,6359 E EVANS AVE
Burglary,2016-08-04,5010 N PARIS ST
Robbery-Street-Res,2015-02-09,256 N KING ST
Burglary,2015-01-29,432 S BROADWAY ST
Burglary,2015-09-13,5615 E MINNESOTA DR
Drug Offenses,2015-09-30,852 N BROADWAY ST
Burglary,2017-06-15,183 W ALAMEDA AVE
All Other Crimes,2015-01-27,835 E 50TH AVE
Agg ASLT-Firearm,2015-10-08,5100 W 38TH AVE
Burglary,2015-11-18,7289 E HAMPDEN AVE
Burglary,2016-09-21,5101 E COLFAX AVE
Burglary,2015-02-08,866 N NAVAJO ST
Burglary,2016-07-16,1350 S SHERIDAN BLVD
All Other Crimes,2016-06-08,909 N LAFAYETTE ST
Burglary,2016-09-29,2342 N OGDEN ST
Theft from Motor Vehicle,2016-09-29,N MARIPOSA ST / W 37TH AVE
Burglary,2015-09-06,1075 S JASON ST
Burglary,2015-07-23,3954 N WILLIAMS ST
Larceny,2017-01-04,445 N FEDERAL BLVD
Criminal Mischief-Property,2015-08-17,1355 S INCA ST
Burglary,2016-07-02,2775 S FEDERAL BLVD
Burglary,2016-07-24,445 N FEDERAL BLVD
Theft from Motor Vehicle,2015-10-02,777 N UMATILLA ST
Burglary,2015-01-26,2291 S KALAMATH ST
Burglary,2015-09-24,755 S FEDERAL BLVD
Burglary,2016-10-19,1301 N MARION ST
Burglary,2016-10-22,5110 N RACE ST
Burglary,2016-04-25,4571 N IVY ST
Burglary,2015-11-28,770 N HUDSON ST
Burglary,2016-12-04,5098 N PARIS ST
Burglary,2015-08-06,1240 S BANNOCK ST
All Other Crimes,2015-01-29,4105 N JASON ST
Robbery-Street-Res,2015-08-18,1550 N BROADWAY ST
Burglary,2019-04-18,1100 S KALAMATH ST
Burglary,2016-08-06,5702 E COLFAX AVE
Burglary,2016-03-25,3638 N MARION ST
Theft from Motor Vehicle,2015-11-20,3609 N TEJON ST
Burglary,2015-12-18,3930 BLAKE ST
Larceny,2017-02-16,3955 N ONEIDA ST
Burglary,2015-12-23,695 N BRYANT ST
All Other Crimes,2015-12-23,695 N BRYANT ST
Larceny,2016-05-19,22O S JULIAN ST
Burglary,2016-02-07,3995 E 50TH AVE
Criminal Mischief-Property,2016-09-10,2724 N CLAYTON ST
Drug Offenses,2015-11-21,1269 N ELATI ST
Criminal Mischief-Vehicle,2015-10-02,777 N UMATILLA ST
Burglary,2015-11-21,735 W BAYAUD AVE
Drug Offenses,2015-09-25,2383 S DOWNING ST
Burglary,2015-11-30,2480 W WATER AVE
All Other Crimes,2016-04-25,3121 E COLFAX AVE
All Other Crimes,2015-11-30,2008 N FEDERAL BLVD
Agg ASLT-Firearm,2016-05-30,W 29TH AVE / N HURON ST
Criminal Mischief-Property,2015-07-22,1355 S INCA ST
Burglary,2016-05-24,4400 N GRAPE ST
Burglary,2016-05-14,3835 N ELM ST
All Other Crimes,2015-11-21,2748 W ALAMEDA AVE
Drug Offenses,2016-09-21,4975 N VASQUEZ BLVD
Theft from Motor Vehicle,2015-02-12,432 S BROADWAY ST
Burglary,2015-07-23,12005 E 37TH AVE
Robbery-Street-Res,2015-08-15,363 S BROADWAY ST
Burglary,2016-06-12,1955 S QUINCE ST
Burglary,2015-09-07,1965 N QUINCE ST
Burglary,2015-08-18,4359 N CLAUDE CT
Burglary,2015-08-06,1100 N YUMA CT
Theft from Motor Vehicle,2017-07-07,468 S FEDERAL BLVD
Burglary,2016-02-29,6858 E EVANS AVE
Larceny,2017-07-09,171 N HAZEL CT
Burglary,2016-06-28,3400 S ONEIDA WAY
Burglary,2016-06-28,2895 W 8TH AVE
All Other Crimes,2016-09-20,2863 LARIMER ST
All Other Crimes,2019-04-20,2949 W ALAMEDA AVE
Burglary,2019-12-04,2863 LARIMER ST
Robbery-Business,2019-11-10,2001 S BROADWAY ST
Burglary,2018-10-29,755 S FEDERAL BLVD
Larceny,2019-07-22,2001 S BROADWAY ST
Burglary,2019-09-20,2252 S KALAMATH ST
Burglary,2019-12-20,3480 S GALENA ST
Criminal Mischief-Property,2019-11-14,4550 S KIPLING ST
All Other Crimes,2019-12-18,2020 S BROADWAY ST
Larceny,2019-09-23,330 E COLFAX AVE
Burglary,2019-09-26,3100 BLAKE ST
Burglary,2019-12-21,6359 E EVANS AVE
Burglary,2019-09-23,330 N FEDERAL BLVD
Burglary,2018-12-10,10625 E 51ST AVE
All Other Crimes,2017-12-24,2777 S COLORADO BLVD
Theft from Motor Vehicle,2019-10-19,1350 S SHERIDAN BLVD
Larceny,2019-09-20,5194 N WASHINGTON ST
Burglary,2019-08-21,5095 N COLORADO BLVD
Burglary,2019-07-08,2863 LARIMER ST
Burglary,2019-06-28,3857 N ELM ST
Burglary,2018-12-18,399 S HARRISON ST
Burglary,2019-09-17,1301 S CHEROKEE ST
Burglary,2019-06-14,1301 N MARION ST
Burglary,2019-09-12,330 N FEDERAL BLVD
Burglary,2018-12-16,5130 E COLFAX AVE
Burglary,2019-12-24,225 N MARIPOSA ST
Burglary,2019-09-13,3100 BLAKE ST
Larceny,2019-10-20,2707 W 38TH AVE
Burglary,2019-08-12,3900 E 48TH AVE
Burglary,2019-09-17,5959 E 39TH AVE
Burglary,2019-12-05,5095 N COLORADO BLVD
Burglary,2019-11-23,5051 E 41ST AVE
Burglary,2018-12-08,3954 N WILLIAMS ST
Burglary,2019-11-18,260 N BROADWAY ST
Robbery-Business,2019-12-03,399 S HARRISON ST
Burglary,2019-05-14,1130 N YUMA ST
Burglary,2018-12-11,7050 N TOWER RD
Agg ASLT-Firearm,2019-12-09,3555 S YOSEMITE ST
Larceny,2019-11-13,2440 W EVANS AVE
Burglary,2019-05-14,4401 N ZENOBIA ST
Burglary,2018-12-09,82 S FEDERAL BLVD
Larceny,2018-12-14,6853 LEETSDALE DR
Burglary,2019-11-06,4615 E COLFAX AVE
Larceny,2019-12-13,5702 E COLFAX AVE
Burglary,2019-11-25,1475 S ACOMA ST
All Other Crimes,2019-11-15,403 16TH ST
Simple Assault,2019-10-14,5155 E 46TH AVE
Burglary,2019-07-28,2268 S DELAWARE ST
Burglary,2018-12-08,3819 N QUENTIN ST
Burglary,2019-09-24,2268 S DELAWARE ST
Burglary,2019-09-23,11975 E 40TH AVE
Burglary,2018-12-11,6858 E EVANS AVE
Agg ASLT-Other,2019-09-17,3835 N ELM ST
Burglary,2019-06-28,2000 W 32ND AVE
Burglary,2018-12-18,1346 W CEDAR AVE
Simple Assault,2019-12-10,7050 N TOWER RD
Burglary,2019-06-14,399 S HARRISON ST
Agg ASLT-Other,2019-11-23,1350 S SHERIDAN BLVD
Burglary,2019-11-18,2777 S COLORADO BLVD
Robbery-Business,2019-06-02,990 W 6TH AVE
Burglary,2015-02-04,4625 E COLFAX AVE
Burglary,2019-04-22,4750 N NOME ST
Burglary,2016-11-23,1075 S FOX ST
Drug Offenses,2016-11-16,4125 N ELATI ST
Burglary,2016-10-29,4495 N WASHINGTON ST
Burglary,2016-09-28,1885 W DARTMOUTH AVE
Criminal Mischief-Property,2016-05-24,2001 S BROADWAY ST
Larceny,2016-04-30,2645 S SANTA FE DR
Burglary,2016-02-18,2070 S HURON ST
Burglary,2016-02-12,755 S FEDERAL BLVD
Criminal Mischief-Property,2017-02-02,10555 E 45TH AVE
Burglary,2016-02-16,74 N FEDERAL BLVD
Criminal Mischief-Property,2015-09-25,1075 S FOX ST
Burglary,2017-07-06,4400 N GRAPE ST
Robbery-Street-Res,2017-04-08,1160 N HOLLY ST
Burglary,2017-02-28,2209 W 32ND AVE
Burglary,2016-02-12,3100 BLAKE ST
Burglary,2017-01-27,1801 CHESTNUT PL
All Other Crimes,2017-03-06,756 N KING ST
Burglary,2016-02-21,7739 E COLFAX AVE
Burglary,2015-11-05,2555 W VASSAR AVE
Robbery-Street-Res,2017-08-10,2700 BLOCK W 38TH AVE
Burglary,2017-04-23,2262 S BROADWAY ST
Burglary,2019-05-27,330 S DAYTON ST
Burglary,2015-10-19,3104 BLAKE ST
Burglary,2017-06-26,219 N VALLEJO ST
Robbery-Street-Res,2017-03-06,4551 N LOGAN ST
Larceny,2015-07-03,2020 S BROADWAY ST
Larceny,2019-05-27,2262 S BROADWAY ST
Burglary,2016-02-15,6666 E STAPLETON S DR
Robbery-Street-Res,2017-05-11,22 S GALAPAGO ST
Larceny,2015-10-15,1201 20TH ST
Burglary,2016-02-20,1568 S FEDERAL BLVD
Robbery-Street-Res,2016-09-21,3000 BLOCK N FIFE CT
Burglary,2016-04-04,811 W BAYAUD AVE
Burglary,2017-02-20,2209 W 32ND AVE
Larceny,2016-05-04,8151 E COLFAX AVE
Burglary,2015-11-13,1498 N IVANHOE ST
Burglary,2015-11-13,3888 E 45TH AVE
Simple Assault,2017-07-06,1501 N COLORADO BLVD
Burglary,2016-06-02,4359 N CLAUDE CT
Burglary,2016-11-18,12005 E 37TH AVE
Burglary,2016-01-14,4809 N CLAYTON ST
Burglary,2016-03-28,4975 N VASQUEZ BLVD
Burglary,2016-03-21,6715 E UNION AVE
Drug Offenses,2017-03-29,310 N ST PAUL ST
Burglary,2017-06-17,3435 S YOSEMITE ST
All Other Crimes,2017-04-10,2145 W EVANS AVE
Larceny,2017-06-21,2949 W ALAMEDA AVE
Burglary,2017-01-30,1015 W EVANS AVE
Burglary,2017-02-04,2390 S BROADWAY ST
Burglary,2017-03-28,1397 S CHEROKEE ST
Burglary,2017-02-12,2645 S SANTA FE DR
Burglary,2017-02-11,4625 E COLFAX AVE
Burglary,2017-06-23,2035 N PERRY ST
Burglary,2017-06-22,6359 E EVANS AVE
All Other Crimes,2017-06-05,879 N FEDERAL BLVD
Larceny,2017-02-11,1620 MARKET ST
Burglary,2017-06-21,4800 N OAKLAND ST
Burglary,2017-08-16,4400 N GRAPE ST
Larceny,2017-03-14,10700 E DARTMOUTH AVE
Burglary,2017-07-08,5300 N JOLIET ST
Burglary,2017-06-17,6625 LEETSDALE DR
Burglary,2017-08-06,2245 N SYRACUSE ST
Larceny,2015-07-22,3975 N PEORIA ST
Burglary,2017-07-12,3240 N PERRY ST
Burglary,2017-02-26,2390 S BROADWAY ST
Burglary,2017-08-26,900 N VALLEJO ST
Drug Offenses,2015-05-23,4125 N ELATI ST
Theft from Motor Vehicle,2018-09-18,3100 BLAKE ST
Criminal Mischief-Property,2019-06-02,1444 WAZEE ST
Criminal Mischief-Property,2017-09-05,10555 E 45TH AVE
Burglary,2017-08-08,3702 W QUINCY AVE
Burglary,2017-06-18,1395 S ACOMA ST
Burglary,2017-03-04,735 W BAYAUD AVE
Burglary,2016-11-25,380 N QUIVAS ST
Robbery-Business,2016-10-28,260 N SANTA FE DR
Robbery-Street-Res,2017-07-27,1101 W COLFAX AVE
Burglary,2017-02-12,1736 N DOWNING ST
Burglary,2017-02-11,7739 E COLFAX AVE
Criminal Mischief-Property,2017-02-04,260 N BROADWAY ST
All Other Crimes,2017-09-07,4975 N VASQUEZ BLVD
Burglary,2016-12-07,4105 N JASON ST
Burglary,2017-08-01,2035 N PERRY ST
Burglary,2017-06-22,3995 E 50TH AVE
Burglary,2017-01-30,1568 S BROADWAY ST
Burglary,2017-04-13,1810 S BROADWAY ST
Criminal Mischief-Property,2016-12-24,1011 W 45TH AVE
Burglary,2016-11-03,3416 W GILL PL
Larceny,2016-01-17,2426 S FEDERAL BLVD
Burglary,2016-11-26,3955 N ONEIDA ST
Burglary,2017-02-26,5201 W 48TH AVE
Larceny,2017-08-25,4750 N NOME ST
Larceny,2017-02-21,2748 W ALAMEDA AVE
Burglary,2017-04-08,1285 S TENNYSON ST
Criminal Mischief-Property,2017-06-26,219 N VALLEJO ST
Criminal Mischief-Property,2017-09-05,10555 E 45TH AVE
Larceny,2017-08-23,4095 N JACKSON ST
Burglary,2017-07-12,2035 N PERRY ST
All Other Crimes,2017-06-22,4935 N YORK ST
Burglary,2015-08-14,777 N CANOSA CT
Burglary,2016-08-28,3954 N WILLIAMS ST
Burglary,2016-01-26,6302 E COLFAX AVE
Burglary,2016-10-04,2154 S JASON ST
Simple Assault,2017-09-13,330 N FEDERAL BLVD
Criminal Mischief-Property,2017-09-13,330 N FEDERAL BLVD
Criminal Mischief-Property,2016-05-30,1355 S INCA ST
Criminal Mischief-Property,2016-08-15,5885 E EVANS AVE
Burglary,2017-07-12,4501 N ADAMS ST
Drug Offenses,2016-10-09,2830 N HIGH ST
Burglary,2016-07-06,1075 S JASON ST
Burglary,2016-08-10,2121 E 44TH AVE
Burglary,2016-05-24,4095 N JACKSON ST
All Other Crimes,2017-09-25,750 N CANOSA CT
Burglary,2016-08-14,4700 N KINGSTON ST
Burglary,2016-07-18,4305 N BRIGHTON BLVD
Burglary,2017-08-05,1126 S SHERIDAN BLVD
Criminal Mischief-Property,2016-04-25,4800 N NOME ST
Agg ASLT-Firearm,2016-10-17,2621 S FEDERAL BLVD
Burglary,2017-11-22,4620 N PEORIA ST
Burglary,2016-08-17,4875 N VASQUEZ BLVD
Burglary,2016-08-22,2863 LARIMER ST
Burglary,2016-09-14,399 S HARRISON ST
Burglary,2016-08-03,5110 N RACE ST
Robbery-Business,2016-06-19,1705 N FEDERAL BLVD
Larceny,2017-09-29,1941 W EVANS AVE
Burglary,2016-07-25,6853 LEETSDALE DR
Burglary,2016-07-25,970 S ONEIDA ST
Burglary,2016-07-23,5385 E 39TH AVE
Larceny,2017-09-05,3980 N FRANKLIN ST
Robbery-Street-Res,2016-05-05,E 26TH AVE / N DEXTER ST
Burglary,2017-01-19,4900 N COLORADO BLVD
Agg ASLT-Other,2016-06-05,1500 N HOOKER ST
Larceny,2016-10-27,1135 S JASON ST
Burglary,2016-07-30,4940 E 39TH AVE
Robbery-Street-Res,2016-02-08,E 33RD AVE / N NEWPORT ST
Burglary,2016-08-15,4228 N YORK ST
Larceny,2016-08-15,8151 E COLFAX AVE
Burglary,2016-07-29,1178 S KALAMATH ST
Robbery-Street-Res,2017-09-26,1999 N BROADWAY ST
Burglary,2016-07-11,330 S DAYTON ST
All Other Crimes,2016-05-20,3460 W 32ND AVE
Burglary,2016-08-02,1355 S INCA ST
Larceny,2017-12-16,7741 E COLFAX AVE
